# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112.0000000000005
  1 0.005 19.936 1073.66
  2 0.015 20.548 1057.17
  3 0.025 21.028 1136.86
  4 0.035 21.494 1101.13
  5 0.045 21.476 1121.43
  6 0.055 21.628 1083.99
  7 0.065 21.772 1046.28
  8 0.075 21.858 1125.92
  9 0.085 21.742 1124.63
  10 0.095 21.662 1165.77
  11 0.105 21.12 1123.56
  12 0.115 20.666 1160.82
  13 0.125 20.196 1117.45
  14 0.135 20.22 1136.13
  15 0.145 20.854 1100.39
  16 0.155 21.58 1119.57
  17 0.165 21.884 1137.87
  18 0.175 21.862 1088.61
  19 0.185 21.798 1100.15
  20 0.195 21.774 1051.61
  21 0.205 21.562 1094.74
  22 0.215 21.538 1156.27
  23 0.225 21.194 1185.42
  24 0.235 20.832 1129.58
  25 0.245 20.058 1119.23
  26 0.255 19.622 1165.6
  27 0.265 19.87 1208.1
  28 0.275 20.532 1181.39
  29 0.285 21.18 1153.15
  30 0.295 21.38 1137.01
  31 0.305 21.572 1135.38
  32 0.315 21.624 1179.99
  33 0.325 21.81 1174.6
  34 0.335 21.872 1165.85
  35 0.345 21.746 1138.42
  36 0.355 21.512 1145.29
  37 0.365 21.134 1237.88
  38 0.375 20.046 1262.06
  39 0.385 19.888 1199.58
  40 0.395 20.57 1256.23
  41 0.405 21.282 1254.48
  42 0.415 21.738 1262.39
  43 0.425 21.936 1186.14
  44 0.435 21.848 1190.35
  45 0.445 21.606 1200.7
  46 0.455 21.632 1227.27
  47 0.465 21.484 1212.75
  48 0.475 21.178 1328.38
  49 0.485 20.644 1322.61
  50 0.495 19.876 1350.28
  51 0.505 19.49 1314.81
  52 0.515 19.958 1323.04
  53 0.525 20.654 1249.14
  54 0.535 21.28 1236.46
  55 0.545 21.506 1269.14
  56 0.555 21.476 1304.74
  57 0.565 21.814 1333.14
  58 0.575 21.712 1264.06
  59 0.585 21.836 1234.23
  60 0.595 21.552 1228.51
  61 0.605 21.016 1233.76
  62 0.615 20.674 1218.42
  63 0.625 20.342 1214.96
  64 0.635 20.274 1271.68
  65 0.645 20.696 1217.13
  66 0.655 21.578 1168.01
  67 0.665 21.832 1247.65
  68 0.675 21.786 1298.21
  69 0.685 21.722 1246.74
  70 0.695 21.7 1302.6
  71 0.705 21.296 1294.82
