# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112.0000000000005
  1 0.005 20.384 1304.97
  2 0.015 20.594 1338.24
  3 0.025 20.794 1312.3
  4 0.035 21.132 1340.41
  5 0.045 21.354 1330.95
  6 0.055 21.58 1389.1
  7 0.065 21.704 1407.43
  8 0.075 21.84 1353.88
  9 0.085 21.714 1434.06
  10 0.095 21.48 1448.23
  11 0.105 20.978 1478.13
  12 0.115 20.728 1513.89
  13 0.125 20.744 1496.74
  14 0.135 20.422 1419.2
  15 0.145 20.838 1403.38
  16 0.155 21.11 1327.05
  17 0.165 21.83 1329.79
  18 0.175 21.686 1373.65
  19 0.185 21.842 1386.78
  20 0.195 21.64 1419.92
  21 0.205 21.694 1496.28
  22 0.215 21.438 1424.85
  23 0.225 21.154 1442.38
  24 0.235 20.664 1420.8
  25 0.245 20.232 1402.33
  26 0.255 19.878 1391.85
  27 0.265 19.87 1358.55
  28 0.275 20.466 1355.62
  29 0.285 21.3 1321.82
  30 0.295 21.362 1399.55
  31 0.305 21.59 1412.16
  32 0.315 21.586 1476.56
  33 0.325 21.804 1446.76
  34 0.335 21.726 1540.44
  35 0.345 21.82 1548.36
  36 0.355 21.344 1502.75
  37 0.365 21.042 1564.92
  38 0.375 20.29 1594.15
  39 0.385 20.214 1555.84
  40 0.395 20.35 1582.34
  41 0.405 21.32 1622.98
  42 0.415 21.54 1645.14
  43 0.425 21.784 1623.46
  44 0.435 21.64 1620.94
  45 0.445 21.642 1616.42
  46 0.455 21.406 1588.55
  47 0.465 21.176 1621.86
  48 0.475 20.68 1576.06
  49 0.485 20.192 1637.37
  50 0.495 20.092 1676.57
  51 0.505 20.222 1607.1
  52 0.515 20.624 1606.63
  53 0.525 20.84 1592.87
  54 0.535 21.242 1566.62
  55 0.545 21.438 1578.87
  56 0.555 21.588 1673.06
  57 0.565 21.756 1646.43
  58 0.575 21.67 1581.18
  59 0.585 21.444 1537.23
  60 0.595 21.056 1469.14
  61 0.605 20.754 1446.85
  62 0.615 20.406 1436.59
  63 0.625 20.704 1500.36
  64 0.635 20.904 1551.27
  65 0.645 21.124 1480.16
  66 0.655 21.674 1464.51
  67 0.665 21.74 1466.54
  68 0.675 21.812 1428.11
  69 0.685 21.602 1463.98
  70 0.695 21.482 1514.1
  71 0.705 21.422 1546.69
  72 0.715 20.962 1522.68
  73 0.725 20.316 1541.99
  74 0.735 20.16 1510.86
  75 0.745 19.676 1543.94
  76 0.755 20.142 1498.48
  77 0.765 20.736 1432.69
  78 0.775 21.31 1382.48
  79 0.785 21.626 1371.7
  80 0.795 21.61 1507.57
