# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112.0000000000005
  1 0.005 19.83 821.541
  2 0.015 20.284 815.645
  3 0.025 21.156 794.559
  4 0.035 21.424 927.932
  5 0.045 21.384 981.481
  6 0.055 21.616 963.603
  7 0.065 21.79 917.515
  8 0.075 21.87 888.884
  9 0.085 21.918 920.335
  10 0.095 21.874 941.699
  11 0.105 21.592 896.645
  12 0.115 20.902 929.685
  13 0.125 20.048 892.005
  14 0.135 19.588 980.508
  15 0.145 20.498 923.57
  16 0.155 21.658 940.641
  17 0.165 21.794 978.736
  18 0.175 21.986 946.795
  19 0.185 21.808 928.919
  20 0.195 21.854 933.645
  21 0.205 21.5 952.973
  22 0.215 21.552 962.373
  23 0.225 21.5 973.613
  24 0.235 20.82 1042.43
  25 0.245 20.4 1046.23
  26 0.255 19.48 1019.84
  27 0.265 19.556 968.132
  28 0.275 20.412 1020.09
  29 0.285 20.994 1058.04
  30 0.295 21.472 1035.46
  31 0.305 21.42 1044.66
  32 0.315 21.664 1058.22
  33 0.325 21.71 1031.7
  34 0.335 21.89 1049.33
  35 0.345 21.9 1036.29
  36 0.355 21.778 1094.84
  37 0.365 20.602 1058.88
  38 0.375 20 1133.67
  39 0.385 19.66 1210.8
  40 0.395 20.66 1143
  41 0.405 21.518 1151.6
  42 0.415 21.812 1171.74
  43 0.425 21.91 1122.29
  44 0.435 21.708 1107.22
  45 0.445 21.67 1120.9
  46 0.455 21.45 1079.47
  47 0.465 21.47 1126.42
  48 0.475 20.846 1158.92
  49 0.485 20.242 1122.86
  50 0.495 19.452 1218.16
  51 0.505 19.48 1194.9
  52 0.515 20.522 1131.67
  53 0.525 21.146 1073.52
  54 0.535 21.356 1132.03
  55 0.545 21.488 1156.37
  56 0.555 21.754 1114.31
  57 0.565 21.734 1091.47
  58 0.575 21.872 1084.61
  59 0.585 21.818 1096.65
  60 0.595 21.656 1134.5
  61 0.605 20.504 1114
  62 0.615 19.952 1068.18
  63 0.625 19.764 982.218
  64 0.635 20.726 993.033
  65 0.645 21.652 943.009
  66 0.655 21.888 1013.98
  67 0.665 21.898 977.518
  68 0.675 21.86 985.999
  69 0.685 21.59 999.418
  70 0.695 21.638 999.465
  71 0.705 21.402 1013.09
  72 0.715 21.324 1038.28
  73 0.725 20.58 1041.64
  74 0.735 19.708 1014.48
  75 0.745 19.352 1093.55
  76 0.755 19.982 1077.57
  77 0.765 20.784 1104.21
  78 0.775 21.288 1076.62
  79 0.785 21.486 1033.28
  80 0.795 21.588 1015.82
  81 0.805 21.756 921.205
  82 0.815 21.89 1017.09
  83 0.825 21.844 1024.65
  84 0.835 21.8 956.928
  85 0.845 21.344 979.128
  86 0.855 20.65 934.339
  87 0.865 19.742 961.073
  88 0.875 19.996 974.893
  89 0.885 20.792 962.972
  90 0.895 21.742 976.711
  91 0.905 21.93 938.576
  92 0.915 21.906 912.707
  93 0.925 21.97 906.314
  94 0.935 21.512 906.164
  95 0.945 21.684 871.828
  96 0.955 21.512 861.56
  97 0.965 21.5 867.956
  98 0.975 20.962 853.487
  99 0.985 20.224 853.736
  100 0.995 19.53 855.345
50000 100 2112
  1 0.005 19.578 843.728
  2 0.015 20.326 833.743
  3 0.025 20.962 908.997
  4 0.035 21.418 872.743
  5 0.045 21.534 929.685
  6 0.055 21.55 893.274
  7 0.065 21.778 908.401
  8 0.075 21.734 980.727
  9 0.085 21.962 959.333
  10 0.095 21.738 1005.47
  11 0.105 21.464 938.569
  12 0.115 21.112 918.037
  13 0.125 19.498 934.689
  14 0.135 19.938 937.966
  15 0.145 20.59 924.601
  16 0.155 21.726 907.538
  17 0.165 21.874 928.472
  18 0.175 21.83 913.44
  19 0.185 21.918 951.631
  20 0.195 21.758 941.564
  21 0.205 21.582 934.086
  22 0.215 21.552 1001.33
  23 0.225 21.244 1045.56
  24 0.235 20.7 1107.6
  25 0.245 19.708 1099.68
  26 0.255 19.732 1071.36
  27 0.265 19.828 1052.9
  28 0.275 20.596 1024.19
  29 0.285 21.214 1040.14
  30 0.295 21.416 1057.82
  31 0.305 21.572 1058.93
  32 0.315 21.662 995.783
  33 0.325 21.89 1009.48
  34 0.335 21.804 1065.98
  35 0.345 21.89 1015.63
  36 0.355 21.54 1101.77
  37 0.365 20.766 1111.16
  38 0.375 19.94 1030.51
  39 0.385 19.63 1100.26
  40 0.395 20.792 1106.54
  41 0.405 21.582 1106.51
  42 0.415 21.854 1057.06
  43 0.425 21.894 1119.61
  44 0.435 21.846 1085.13
  45 0.445 21.694 1128.3
  46 0.455 21.456 1116.28
  47 0.465 21.448 1159.23
  48 0.475 21.06 1167.63
  49 0.485 20.34 1176.05
  50 0.495 19.556 1233.56
  51 0.505 19.544 1221.72
  52 0.515 20.086 1187.81
  53 0.525 20.92 1156.64
  54 0.535 21.412 1167.04
  55 0.545 21.434 1131.66
  56 0.555 21.772 1089.01
  57 0.565 21.764 1128.36
  58 0.575 21.72 1069.79
  59 0.585 21.922 1051.75
  60 0.595 21.58 1034.57
  61 0.605 20.608 1011.99
  62 0.615 19.94 971.924
  63 0.625 19.726 977.427
  64 0.635 20.79 1017.17
  65 0.645 21.608 988.213
  66 0.655 21.872 1006.35
  67 0.665 21.928 955.636
  68 0.675 21.834 1001.96
  69 0.685 21.674 1039.21
  70 0.695 21.49 1017.3
  71 0.705 21.462 986.714
  72 0.715 21.264 1023.87
  73 0.725 20.448 1016.55
  74 0.735 19.728 1022.79
  75 0.745 19.606 1058.43
  76 0.755 19.988 1084.96
  77 0.765 20.812 1069.63
  78 0.775 21.298 1087.49
  79 0.785 21.39 1099.56
  80 0.795 21.692 1081.58
  81 0.805 21.614 1023.83
  82 0.815 21.896 1014.52
  83 0.825 21.904 1005.49
  84 0.835 21.706 965.063
  85 0.845 21.38 1005.88
  86 0.855 20.552 1009.99
  87 0.865 19.872 985.483
  88 0.875 19.952 995.417
  89 0.885 20.92 964.798
  90 0.895 21.664 883.923
  91 0.905 21.93 877.408
  92 0.915 21.908 880.797
  93 0.925 21.84 842.031
  94 0.935 21.72 901.621
  95 0.945 21.588 890.713
  96 0.955 21.52 862.299
  97 0.965 21.426 875.552
  98 0.975 21.152 845.058
  99 0.985 20.288 827.67
  100 0.995 19.78 845.293
55000 100 2112
  1 0.005 19.672 858.532
  2 0.015 20.404 874.918
  3 0.025 21.116 842.387
  4 0.035 21.494 887.856
  5 0.045 21.44 894.63
  6 0.055 21.664 870.474
  7 0.065 21.788 933.206
  8 0.075 21.83 931.171
  9 0.085 21.89 915.857
  10 0.095 21.756 951.993
  11 0.105 21.744 956.739
  12 0.115 20.728 947.202
  13 0.125 19.888 944.103
