# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112.0000000000005
  1 0.005 19.12 640.588
  2 0.015 19.672 660.638
  3 0.025 20.958 673.604
  4 0.035 21.456 745.254
  5 0.045 21.438 770.795
  6 0.055 21.604 764.081
  7 0.065 21.564 788.548
  8 0.075 21.808 796.6
  9 0.085 21.994 751.644
  10 0.095 21.942 727.13
  11 0.105 21.762 713.769
  12 0.115 21.296 735.996
  13 0.125 19.772 757.082
  14 0.135 19.39 755.823
  15 0.145 20.13 750.516
  16 0.155 21.746 740.176
  17 0.165 21.938 779.398
  18 0.175 21.942 838.897
  19 0.185 21.886 823.073
  20 0.195 21.714 792.344
  21 0.205 21.61 839.089
  22 0.215 21.436 875.785
  23 0.225 21.474 886.183
  24 0.235 20.912 819.732
  25 0.245 19.744 843.578
  26 0.255 19.26 885.421
  27 0.265 19.61 933.262
  28 0.275 20.584 937.257
  29 0.285 21.372 899.951
  30 0.295 21.332 897.842
  31 0.305 21.636 861.468
  32 0.315 21.678 864.68
  33 0.325 21.9 879.319
  34 0.335 21.908 860.053
  35 0.345 21.9 874.109
  36 0.355 21.358 851.126
  37 0.365 20.328 886.712
  38 0.375 19.73 879.254
  39 0.385 20.084 871.461
  40 0.395 20.944 905.849
  41 0.405 21.628 891.538
  42 0.415 21.952 897.914
  43 0.425 21.882 919.096
  44 0.435 21.83 883.048
  45 0.445 21.546 880.726
  46 0.455 21.384 905.063
  47 0.465 21.412 906.52
  48 0.475 20.988 874.875
  49 0.485 20.024 925.894
  50 0.495 19.314 900.387
  51 0.505 19.574 938.293
  52 0.515 20.38 936.045
  53 0.525 21.364 935.297
  54 0.535 21.334 891.11
  55 0.545 21.648 848.661
  56 0.555 21.654 880.361
  57 0.565 21.81 859.855
  58 0.575 21.92 821.901
  59 0.585 21.952 811.231
  60 0.595 21.71 801.324
  61 0.605 20.412 826.875
  62 0.615 19.556 802.895
  63 0.625 19.588 807.436
  64 0.635 20.976 806.439
  65 0.645 21.862 783.943
  66 0.655 21.926 816.624
  67 0.665 21.906 814.371
  68 0.675 21.838 838.011
  69 0.685 21.7 821.642
  70 0.695 21.42 833.296
  71 0.705 21.456 849.195
  72 0.715 21.442 779.128
  73 0.725 20.656 834.129
  74 0.735 19.578 840.673
  75 0.745 18.9 788.597
  76 0.755 20.068 766.437
  77 0.765 21.046 799.622
  78 0.775 21.35 827.794
  79 0.785 21.626 771.097
  80 0.795 21.474 787.793
  81 0.805 21.722 764.435
  82 0.815 21.906 741.027
  83 0.825 21.94 731.863
  84 0.835 21.928 719.216
  85 0.845 21.582 755.354
  86 0.855 20.92 772.579
  87 0.865 20.008 806.876
  88 0.875 19.912 761.393
  89 0.885 20.368 763.016
  90 0.895 21.41 772.669
  91 0.905 21.834 787.569
  92 0.915 21.992 684.914
  93 0.925 21.91 672.716
  94 0.935 21.658 710.485
  95 0.945 21.892 727.445
  96 0.955 21.33 742.741
  97 0.965 21.504 675.67
  98 0.975 21.38 619.998
  99 0.985 20.744 696.236
  100 0.995 20.042 674.267
50000 100 2112
