# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  1 0.005 18.224 290.54
  2 0.015 21.054 283.299
  3 0.025 21.866 300.391
  4 0.035 21.518 305.847
  5 0.045 21.172 334.166
  6 0.055 21.508 339.997
  7 0.065 21.918 322.526
  8 0.075 21.97 332.654
  9 0.085 21.996 333.438
  10 0.095 22 345.431
  11 0.105 21.918 332.571
  12 0.115 21.206 332.144
  13 0.125 18.784 341.948
  14 0.135 18.832 342.928
  15 0.145 21.324 337.748
  16 0.155 21.936 346.544
  17 0.165 22 337.033
  18 0.175 22 342.943
  19 0.185 21.958 357.911
  20 0.195 21.854 384.553
  21 0.205 21.39 367.968
  22 0.215 21.25 361
  23 0.225 21.588 367.376
  24 0.235 21.818 386.109
  25 0.245 20.394 423.054
  26 0.255 17.492 411.179
  27 0.265 18.88 403.038
  28 0.275 21.4 402.373
  29 0.285 21.766 394.024
  30 0.295 21.292 431.292
  31 0.305 21.346 434.69
  32 0.315 21.642 424.808
  33 0.325 21.942 440.696
  34 0.335 21.988 446.783
  35 0.345 22 435.959
  36 0.355 21.966 436.106
  37 0.365 21.322 449.536
  38 0.375 19.362 433.329
  39 0.385 18.506 445.188
  40 0.395 21.008 452.254
  41 0.405 21.832 482.69
  42 0.415 22.004 486.822
  43 0.425 21.98 506.314
  44 0.435 21.918 479.971
  45 0.445 21.652 539.751
  46 0.455 21.334 498.524
  47 0.465 21.5 491.312
  48 0.475 21.57 537.346
  49 0.485 20.874 547.447
  50 0.495 18.412 545.468
  51 0.505 18.314 536.75
  52 0.515 20.634 521.472
  53 0.525 21.568 521.489
  54 0.535 21.468 547.722
  55 0.545 21.286 510.849
  56 0.555 21.678 510.095
  57 0.565 21.826 498.818
  58 0.575 21.986 481.169
  59 0.585 22 499.666
  60 0.595 21.92 492.462
  61 0.605 21.15 479.112
  62 0.615 18.42 490.007
  63 0.625 19.448 469.878
  64 0.635 21.132 475.536
  65 0.645 21.93 454.882
  66 0.655 22 441.47
  67 0.665 21.998 431.852
  68 0.675 21.836 442.277
  69 0.685 21.778 438.9
  70 0.695 21.312 426.582
  71 0.705 21.344 401.138
  72 0.715 21.722 398.067
  73 0.725 21.244 415.342
  74 0.735 18.846 382.814
  75 0.745 17.614 380.19
  76 0.755 20.416 366.124
  77 0.765 21.828 379.006
  78 0.775 21.514 394.86
  79 0.785 21.292 389.752
  80 0.795 21.412 369.368
  81 0.805 21.87 366.469
  82 0.815 21.976 344.58
  83 0.825 21.998 365.764
  84 0.835 21.984 359.258
  85 0.845 21.842 340.355
  86 0.855 21.448 337.011
  87 0.865 18.762 349.593
  88 0.875 18.592 354.231
  89 0.885 21.41 340.169
  90 0.895 21.962 322.71
  91 0.905 22 317.417
  92 0.915 22 332.208
  93 0.925 21.976 327.809
  94 0.935 21.83 325.882
  95 0.945 21.414 319.887
  96 0.955 21.312 319.54
  97 0.965 21.558 325.493
  98 0.975 21.83 322.119
  99 0.985 20.842 312.314
  100 0.995 18.012 312.295
50000 100 2112
  1 0.005 17.956 299.682
  2 0.015 21.096 294.24
  3 0.025 21.87 273.325
  4 0.035 21.624 285.635
  5 0.045 21.168 281.596
  6 0.055 21.432 304.239
  7 0.065 21.868 317.789
  8 0.075 21.99 330.186
  9 0.085 21.996 319.191
  10 0.095 22 324.262
  11 0.105 21.94 352.262
  12 0.115 21.468 358.266
  13 0.125 18.894 353.491
  14 0.135 18.724 352.415
  15 0.145 21.074 349.373
  16 0.155 21.9 357.868
  17 0.165 22 345.534
  18 0.175 22 349.91
  19 0.185 21.978 361.619
  20 0.195 21.802 385.723
  21 0.205 21.348 389.463
  22 0.215 21.332 385.413
  23 0.225 21.594 414.192
  24 0.235 21.708 400.232
  25 0.245 20.086 389.947
  26 0.255 17.594 406.471
  27 0.265 19.182 405.344
  28 0.275 21.382 387.239
  29 0.285 21.694 405.407
  30 0.295 21.362 412.458
  31 0.305 21.274 418.934
  32 0.315 21.758 416.898
  33 0.325 21.914 423.513
  34 0.335 21.992 425.986
  35 0.345 22 437.902
  36 0.355 21.996 427.44
  37 0.365 21.434 436.616
  38 0.375 18.854 437.901
  39 0.385 18.792 455.063
  40 0.395 20.974 456.753
  41 0.405 21.968 464.104
  42 0.415 21.976 466.37
  43 0.425 22.002 454.072
  44 0.435 21.936 476.126
  45 0.445 21.676 480.779
  46 0.455 21.366 513.055
  47 0.465 21.348 511.775
  48 0.475 21.626 499.033
  49 0.485 21.066 501.132
  50 0.495 18.452 497.483
  51 0.505 18.232 523.098
  52 0.515 20.478 536.968
  53 0.525 21.602 562.358
  54 0.535 21.438 582.455
  55 0.545 21.358 546.044
  56 0.555 21.514 557.852
  57 0.565 21.942 536.972
  58 0.575 21.976 545.947
  59 0.585 21.994 532.86
  60 0.595 21.872 524.375
  61 0.605 20.938 489.945
  62 0.615 18.686 440.648
  63 0.625 19.258 436.824
  64 0.635 21.32 454.839
  65 0.645 21.938 474.935
  66 0.655 21.986 473.662
  67 0.665 21.974 466.935
  68 0.675 21.882 440.408
  69 0.685 21.592 413.417
  70 0.695 21.434 409.896
  71 0.705 21.284 384.957
  72 0.715 21.792 399.617
  73 0.725 21.342 394.623
  74 0.735 18.826 359.928
  75 0.745 17.554 384.875
  76 0.755 20.522 377.733
  77 0.765 21.756 376.745
  78 0.775 21.476 403.537
  79 0.785 21.284 401.414
  80 0.795 21.518 372.341
  81 0.805 21.804 366.244
  82 0.815 21.966 360.014
  83 0.825 21.996 354.718
  84 0.835 22 377.611
  85 0.845 21.834 359.388
  86 0.855 21.176 354.629
  87 0.865 18.786 340.796
  88 0.875 18.862 356.468
  89 0.885 21.384 352.34
  90 0.895 21.958 350.046
  91 0.905 22 336.121
  92 0.915 22 346.534
  93 0.925 21.974 329.404
  94 0.935 21.876 314.965
  95 0.945 21.48 319.033
  96 0.955 21.17 312.477
  97 0.965 21.574 314.396
  98 0.975 21.85 312.905
  99 0.985 21.082 292.117
  100 0.995 17.994 302.987
55000 100 2111.9999999999995
  1 0.005 17.952 263.305
  2 0.015 21.086 267.849
  3 0.025 21.858 276.922
  4 0.035 21.692 273.803
  5 0.045 21.14 290.557
  6 0.055 21.47 290.482
  7 0.065 21.774 307.249
  8 0.075 22 326.231
