# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  1 0.005 20.114 1223.49
  2 0.015 20.524 1244.17
  3 0.025 21.102 1216.67
  4 0.035 21.246 1166.96
  5 0.045 21.57 1171.66
  6 0.055 21.732 1183.27
  7 0.065 21.654 1252.01
  8 0.075 21.778 1235.55
  9 0.085 21.792 1211.43
  10 0.095 21.718 1221.53
  11 0.105 21.364 1233.94
  12 0.115 20.878 1319.4
  13 0.125 20.378 1332.91
  14 0.135 20.42 1346.99
  15 0.145 20.778 1280.86
  16 0.155 21.044 1328.16
  17 0.165 21.58 1356.05
  18 0.175 21.778 1364.13
  19 0.185 21.748 1373.43
  20 0.195 21.764 1374.07
  21 0.205 21.618 1367.66
  22 0.215 21.48 1376.77
  23 0.225 21.348 1363.02
  24 0.235 20.812 1435.84
  25 0.245 20.444 1442.13
  26 0.255 19.688 1442.1
  27 0.265 19.808 1427.67
  28 0.275 20.484 1357.16
  29 0.285 20.744 1438.97
  30 0.295 21.312 1409.23
  31 0.305 21.516 1394.1
  32 0.315 21.778 1377.59
  33 0.325 21.83 1389.04
  34 0.335 21.772 1390.52
  35 0.345 21.834 1363.6
  36 0.355 21.452 1387.59
  37 0.365 20.926 1419.92
  38 0.375 20.12 1463.38
  39 0.385 20.114 1439.21
  40 0.395 20.706 1425.27
  41 0.405 21.11 1447.63
  42 0.415 21.63 1443.05
  43 0.425 21.836 1430.71
  44 0.435 21.77 1437.5
  45 0.445 21.774 1384.19
  46 0.455 21.384 1484.63
  47 0.465 21.354 1477.59
  48 0.475 20.856 1542.57
  49 0.485 20.212 1636.12
  50 0.495 19.85 1629.31
  51 0.505 20.1 1567.98
  52 0.515 20.192 1483.41
  53 0.525 20.906 1456.9
  54 0.535 21.018 1463.06
  55 0.545 21.656 1473.68
  56 0.555 21.65 1521.26
  57 0.565 21.74 1513.3
  58 0.575 21.848 1471.63
  59 0.585 21.646 1457.6
  60 0.595 21.152 1434.23
  61 0.605 20.788 1468.41
  62 0.615 20.204 1511.97
  63 0.625 20.42 1471.38
  64 0.635 20.8 1362.87
  65 0.645 21.324 1340.53
  66 0.655 21.68 1335.99
  67 0.665 21.602 1474.27
  68 0.675 21.784 1483.16
  69 0.685 21.59 1518.54
  70 0.695 21.454 1509.45
  71 0.705 21.266 1497.41
  72 0.715 20.86 1470.93
  73 0.725 20.166 1450
  74 0.735 20.082 1504.33
  75 0.745 19.92 1447.53
  76 0.755 20.432 1367.51
  77 0.765 20.782 1400.56
  78 0.775 21.254 1325.81
  79 0.785 21.544 1329.6
  80 0.795 21.73 1329.2
  81 0.805 21.748 1383.37
  82 0.815 21.818 1394.91
  83 0.825 21.812 1369.78
  84 0.835 21.702 1379.45
  85 0.845 21.298 1368.1
  86 0.855 20.528 1348.13
  87 0.865 20.23 1438.44
  88 0.875 20.27 1413.83
  89 0.885 20.932 1353.52
  90 0.895 21.436 1347.12
  91 0.905 21.62 1316.22
  92 0.915 21.87 1251.58
  93 0.925 21.806 1296.54
  94 0.935 21.622 1356.96
  95 0.945 21.508 1332.74
  96 0.955 21.61 1282.79
  97 0.965 21.056 1308.58
  98 0.975 20.852 1264.8
  99 0.985 20.128 1273.76
  100 0.995 20.04 1257.96
50000 100 2111.9999999999995
  1 0.005 20.17 1250.02
  2 0.015 20.542 1216.02
  3 0.025 20.972 1241.25
  4 0.035 21.358 1202.57
  5 0.045 21.46 1278.03
  6 0.055 21.592 1284.58
  7 0.065 21.702 1247.22
  8 0.075 21.864 1202.19
  9 0.085 21.874 1206.65
  10 0.095 21.656 1202.53
  11 0.105 21.262 1248.37
  12 0.115 20.542 1300.99
  13 0.125 20.36 1289.34
  14 0.135 20.656 1377.1
  15 0.145 20.846 1361.04
  16 0.155 21.164 1236.34
  17 0.165 21.544 1225.51
  18 0.175 21.69 1338.1
  19 0.185 21.892 1372.18
  20 0.195 21.68 1422.89
  21 0.205 21.598 1398.18
  22 0.215 21.456 1415.27
  23 0.225 21.118 1423.45
  24 0.235 20.86 1402.95
  25 0.245 20.082 1347.95
  26 0.255 20.028 1334.58
  27 0.265 19.996 1317.85
  28 0.275 20.518 1358.92
  29 0.285 21.106 1416.66
  30 0.295 21.29 1415.11
  31 0.305 21.456 1466.71
  32 0.315 21.598 1458.61
  33 0.325 21.854 1400.93
  34 0.335 21.872 1359.9
  35 0.345 21.724 1371.53
  36 0.355 21.562 1418.16
  37 0.365 20.846 1421.03
  38 0.375 20.202 1414.58
  39 0.385 20.492 1400.06
  40 0.395 20.828 1407.49
  41 0.405 20.978 1440.53
  42 0.415 21.426 1450.88
  43 0.425 21.732 1526.32
  44 0.435 21.682 1527.9
  45 0.445 21.702 1520.22
  46 0.455 21.458 1521.23
  47 0.465 21.426 1508.66
  48 0.475 21.008 1526.53
  49 0.485 20.198 1675.14
  50 0.495 19.996 1592.42
  51 0.505 19.73 1620.22
  52 0.515 20.086 1540.32
  53 0.525 20.892 1517.21
  54 0.535 21.114 1574.46
  55 0.545 21.584 1455.46
  56 0.555 21.686 1435.91
  57 0.565 21.706 1483.28
  58 0.575 21.75 1484.76
  59 0.585 21.486 1469.6
  60 0.595 21.248 1451.47
  61 0.605 20.542 1400.38
  62 0.615 20.438 1352.36
  63 0.625 20.33 1357.31
  64 0.635 21.204 1338.84
  65 0.645 21.33 1318.75
  66 0.655 21.538 1381.39
  67 0.665 21.59 1513.33
  68 0.675 21.92 1404.06
  69 0.685 21.676 1414.51
  70 0.695 21.522 1457.04
  71 0.705 21.42 1454.31
  72 0.715 20.946 1452.14
  73 0.725 20.466 1487.65
  74 0.735 19.934 1457.8
  75 0.745 19.758 1440.42
  76 0.755 20.342 1490.38
  77 0.765 20.668 1516
  78 0.775 21.174 1458.38
  79 0.785 21.394 1406.72
  80 0.795 21.69 1370.35
  81 0.805 21.694 1351.75
  82 0.815 21.84 1339.82
  83 0.825 21.828 1337.33
  84 0.835 21.608 1403.06
  85 0.845 21.136 1349.74
  86 0.855 20.518 1386.91
  87 0.865 19.928 1350.16
  88 0.875 20.268 1338.57
  89 0.885 21.376 1351.22
  90 0.895 21.4 1358.2
  91 0.905 21.796 1291.57
  92 0.915 21.898 1292.56
  93 0.925 21.742 1274.81
  94 0.935 21.626 1302.57
  95 0.945 21.628 1277.04
  96 0.955 21.46 1310.9
  97 0.965 21.078 1332.85
  98 0.975 20.65 1273.71
  99 0.985 20.392 1213.11
  100 0.995 20.052 1272.64
55000 100 2111.9999999999995
  1 0.005 20.234 1232.83
  2 0.015 20.53 1214.32
  3 0.025 21.06 1195.18
  4 0.035 21.386 1162.16
  5 0.045 21.5 1227.06
  6 0.055 21.572 1273.49
  7 0.065 21.844 1300.36
  8 0.075 21.796 1269.94
  9 0.085 21.826 1322.9
  10 0.095 21.644 1257.7
  11 0.105 21.298 1319.33
  12 0.115 20.754 1282.52
  13 0.125 20.3 1321.74
  14 0.135 20.418 1304.22
  15 0.145 20.664 1339.08
  16 0.155 21.27 1303.25
  17 0.165 21.72 1340.67
  18 0.175 21.792 1452.87
  19 0.185 21.768 1468.13
  20 0.195 21.75 1369.09
  21 0.205 21.666 1381.64
  22 0.215 21.41 1337.05
  23 0.225 21.278 1318.69
  24 0.235 20.876 1279.27
  25 0.245 20.366 1291.35
  26 0.255 19.894 1281.54
  27 0.265 19.896 1325.08
  28 0.275 20.42 1263.77
  29 0.285 20.874 1400.33
  30 0.295 21.262 1411.1
  31 0.305 21.622 1338.09
  32 0.315 21.612 1408.98
  33 0.325 21.766 1351.04
  34 0.335 21.802 1423.73
  35 0.345 21.846 1436.96
  36 0.355 21.448 1471.05
  37 0.365 20.784 1492.47
  38 0.375 20.272 1465.41
  39 0.385 20.524 1534.28
  40 0.395 20.718 1577.29
  41 0.405 21.088 1605.47
  42 0.415 21.34 1622.12
  43 0.425 21.582 1555.09
  44 0.435 21.798 1537.73
  45 0.445 21.71 1515.85
  46 0.455 21.646 1457.66
  47 0.465 21.26 1478.16
  48 0.475 21 1474.4
  49 0.485 20.522 1469.38
  50 0.495 20.196 1459.06
  51 0.505 19.928 1490.9
  52 0.515 20.262 1416.27
  53 0.525 20.532 1512.03
  54 0.535 21.058 1505.64
  55 0.545 21.442 1532.62
  56 0.555 21.638 1552.18
  57 0.565 21.602 1560.41
  58 0.575 21.928 1519.95
  59 0.585 21.48 1568.91
  60 0.595 21.31 1423.58
  61 0.605 20.938 1376.26
  62 0.615 20.33 1434.68
  63 0.625 20.262 1447.27
  64 0.635 20.784 1392.81
  65 0.645 21.034 1319.74
  66 0.655 21.712 1375.9
  67 0.665 21.724 1421.25
  68 0.675 21.86 1377.98
  69 0.685 21.648 1412.01
  70 0.695 21.628 1455.4
  71 0.705 21.272 1426.9
  72 0.715 21.034 1491.43
  73 0.725 20.47 1475.62
  74 0.735 20.062 1433.89
  75 0.745 19.698 1438.84
  76 0.755 20.008 1465.15
  77 0.765 20.808 1417.26
  78 0.775 21.216 1505.59
  79 0.785 21.398 1474.49
  80 0.795 21.682 1462.7
  81 0.805 21.76 1455.95
  82 0.815 21.804 1480.2
  83 0.825 21.792 1405.77
  84 0.835 21.268 1363.43
  85 0.845 20.898 1338.29
  86 0.855 20.486 1334.31
  87 0.865 20.578 1352.46
  88 0.875 20.54 1322.26
  89 0.885 21.09 1371.83
  90 0.895 21.524 1314.8
  91 0.905 21.59 1258.5
  92 0.915 21.87 1298.41
  93 0.925 21.738 1252.44
  94 0.935 21.656 1263.95
  95 0.945 21.578 1278.21
  96 0.955 21.236 1258.14
  97 0.965 21.16 1267.51
  98 0.975 20.72 1206.43
  99 0.985 20.204 1207.99
  100 0.995 20.156 1203.62
60000 100 2112.0000000000005
  1 0.005 20.27 1209.18
  2 0.015 20.502 1235.8
  3 0.025 21.06 1250.35
  4 0.035 21.48 1250.39
  5 0.045 21.45 1284.68
  6 0.055 21.642 1231.99
  7 0.065 21.748 1287.46
  8 0.075 21.882 1255.06
  9 0.085 21.842 1274.53
  10 0.095 21.586 1312.15
  11 0.105 21.316 1297.28
  12 0.115 20.784 1323.79
  13 0.125 20.288 1399.19
  14 0.135 20.382 1368.3
  15 0.145 20.662 1340.21
  16 0.155 21.29 1277.11
  17 0.165 21.74 1343.76
  18 0.175 21.742 1346.83
  19 0.185 21.842 1300.8
  20 0.195 21.76 1388.4
  21 0.205 21.524 1392.42
  22 0.215 21.54 1376.55
  23 0.225 21.16 1403.61
  24 0.235 20.988 1371.27
  25 0.245 20.138 1343.85
  26 0.255 19.962 1335.26
  27 0.265 20.14 1329.09
  28 0.275 20.452 1254.37
  29 0.285 20.758 1327.12
  30 0.295 21.322 1290.8
  31 0.305 21.454 1281.44
  32 0.315 21.824 1386.14
  33 0.325 21.594 1443.79
  34 0.335 21.884 1438.24
  35 0.345 21.786 1379.4
  36 0.355 21.242 1515.24
  37 0.365 20.94 1477.19
  38 0.375 20.436 1548.06
  39 0.385 20.386 1490.71
  40 0.395 20.562 1517.47
  41 0.405 21.104 1452.33
  42 0.415 21.596 1446.85
  43 0.425 21.634 1521.54
  44 0.435 21.654 1612.02
  45 0.445 21.674 1638.85
  46 0.455 21.556 1607.01
  47 0.465 21.04 1566.1
  48 0.475 20.852 1497.5
  49 0.485 20.428 1420.12
  50 0.495 20.034 1470.26
  51 0.505 20.012 1475.95
  52 0.515 20.234 1476.02
  53 0.525 20.936 1426.95
  54 0.535 21.064 1470.58
  55 0.545 21.544 1483.28
  56 0.555 21.626 1588.96
  57 0.565 21.756 1557.77
  58 0.575 21.948 1522.24
  59 0.585 21.582 1599.95
  60 0.595 21.172 1567.11
  61 0.605 20.894 1457.49
  62 0.615 20.296 1399.36
  63 0.625 20.316 1398.9
  64 0.635 20.644 1401.16
  65 0.645 21.222 1387.04
  66 0.655 21.674 1388.29
  67 0.665 21.77 1376.28
  68 0.675 21.816 1375.18
  69 0.685 21.668 1416.38
  70 0.695 21.588 1411.67
  71 0.705 21.374 1501.3
  72 0.715 20.802 1495.42
  73 0.725 20.466 1420.05
  74 0.735 20.276 1465.36
  75 0.745 19.82 1523.3
  76 0.755 20.094 1399.98
  77 0.765 20.82 1364.26
  78 0.775 21.104 1438.58
  79 0.785 21.306 1441.02
  80 0.795 21.704 1420.03
  81 0.805 21.668 1526.98
  82 0.815 21.812 1452.38
  83 0.825 21.854 1421.24
  84 0.835 21.346 1395.23
  85 0.845 21.116 1365.66
  86 0.855 20.336 1353.9
  87 0.865 20.386 1367.38
  88 0.875 20.604 1367.53
  89 0.885 21.088 1316.68
  90 0.895 21.524 1334.22
  91 0.905 21.68 1262.01
  92 0.915 21.716 1277.84
  93 0.925 21.662 1253.07
  94 0.935 21.808 1240.24
  95 0.945 21.428 1248.02
  96 0.955 21.436 1266.8
  97 0.965 21.11 1173.62
  98 0.975 20.762 1171.87
  99 0.985 20.11 1178.17
  100 0.995 20.094 1233.83
65000 100 2112.0000000000005
  1 0.005 20.358 1174.81
  2 0.015 20.6 1199.87
  3 0.025 20.744 1234.57
  4 0.035 21.058 1338.22
  5 0.045 21.362 1317.2
  6 0.055 21.56 1297.7
  7 0.065 21.7 1282.5
  8 0.075 21.896 1329.6
  9 0.085 21.794 1324.4
  10 0.095 21.648 1263.9
  11 0.105 21.196 1297.41
  12 0.115 20.734 1168.98
  13 0.125 20.398 1232.37
  14 0.135 20.536 1236.7
  15 0.145 20.862 1260.9
  16 0.155 21.188 1368.48
  17 0.165 21.412 1364.24
  18 0.175 21.764 1330.98
  19 0.185 21.844 1317.55
  20 0.195 21.614 1427.95
  21 0.205 21.656 1434.95
  22 0.215 21.292 1467.97
  23 0.225 21.218 1405.58
  24 0.235 20.444 1463.27
  25 0.245 20.232 1442.1
  26 0.255 20.162 1367.97
  27 0.265 20.208 1337.92
  28 0.275 20.554 1297.42
  29 0.285 21.018 1257.15
  30 0.295 21.34 1264.67
  31 0.305 21.594 1328.46
  32 0.315 21.63 1349.94
  33 0.325 21.726 1338.71
  34 0.335 21.792 1327.5
  35 0.345 21.618 1336.33
  36 0.355 21.446 1372.55
  37 0.365 20.83 1487.67
  38 0.375 20.404 1518
  39 0.385 20.582 1612.95
  40 0.395 20.85 1526.66
  41 0.405 20.93 1570.06
  42 0.415 21.406 1431.8
  43 0.425 21.768 1424.92
  44 0.435 21.51 1535.22
  45 0.445 21.712 1542
  46 0.455 21.5 1518.37
  47 0.465 21.24 1633.91
  48 0.475 20.734 1604.7
  49 0.485 20.216 1612.57
  50 0.495 19.998 1554.05
  51 0.505 20.084 1521.38
  52 0.515 20.49 1511.85
  53 0.525 20.704 1563.69
  54 0.535 21.198 1548.21
  55 0.545 21.536 1503.07
  56 0.555 21.634 1570.03
  57 0.565 21.648 1506
  58 0.575 21.924 1401.9
  59 0.585 21.578 1428.96
  60 0.595 21.22 1422.65
  61 0.605 20.386 1439.07
  62 0.615 20.38 1434.38
  63 0.625 20.486 1383.58
  64 0.635 20.578 1468.12
  65 0.645 21.596 1384.11
  66 0.655 21.728 1386.85
  67 0.665 21.726 1440.63
  68 0.675 21.668 1509.25
  69 0.685 21.76 1511.87
  70 0.695 21.472 1549.55
  71 0.705 21.178 1495.73
  72 0.715 20.848 1514.84
  73 0.725 20.442 1432.87
  74 0.735 20.114 1478.44
  75 0.745 20.082 1483.07
  76 0.755 20.186 1431.64
  77 0.765 20.828 1357.86
  78 0.775 21.154 1426.4
  79 0.785 21.552 1361.74
  80 0.795 21.658 1276.31
  81 0.805 21.754 1338.02
  82 0.815 21.718 1368.42
  83 0.825 21.742 1302.31
  84 0.835 21.484 1313.72
  85 0.845 21.33 1257.43
  86 0.855 20.648 1334.75
  87 0.865 20.748 1340.79
  88 0.875 20.494 1405.02
  89 0.885 20.852 1392.42
  90 0.895 21.218 1342.26
  91 0.905 21.552 1318.51
  92 0.915 21.68 1302.75
  93 0.925 21.66 1292.19
  94 0.935 21.762 1277.61
  95 0.945 21.43 1386.32
  96 0.955 21.498 1330.63
  97 0.965 21.13 1249.68
  98 0.975 20.866 1277.5
  99 0.985 20.458 1152.92
  100 0.995 20.26 1186.9
70000 100 2112.0000000000005
  1 0.005 20.316 1263.93
  2 0.015 20.414 1209.92
  3 0.025 20.838 1221.38
  4 0.035 21.236 1212.73
  5 0.045 21.42 1209.94
  6 0.055 21.602 1256.53
  7 0.065 21.798 1232.08
  8 0.075 21.744 1241.31
  9 0.085 21.916 1228.48
  10 0.095 21.784 1269.58
  11 0.105 21.242 1267.99
  12 0.115 20.912 1267.12
  13 0.125 20.626 1247.75
  14 0.135 20.082 1291.19
  15 0.145 20.398 1331.82
  16 0.155 21.262 1246.81
  17 0.165 21.656 1281.46
  18 0.175 21.844 1260.42
  19 0.185 21.816 1283.91
  20 0.195 21.698 1380.81
  21 0.205 21.536 1391.13
  22 0.215 21.558 1374.95
  23 0.225 21.12 1338.01
  24 0.235 20.702 1355.33
  25 0.245 20.522 1344.15
  26 0.255 19.836 1340.8
  27 0.265 20.06 1342.99
  28 0.275 20.592 1411.03
  29 0.285 20.716 1413.61
  30 0.295 21.358 1298.76
  31 0.305 21.486 1369.85
  32 0.315 21.714 1383.55
  33 0.325 21.752 1394.42
  34 0.335 21.766 1421.73
  35 0.345 21.45 1443.16
  36 0.355 21.086 1487.1
  37 0.365 20.84 1496.45
  38 0.375 20.514 1567.72
  39 0.385 20.742 1504.84
  40 0.395 20.878 1543.41
  41 0.405 21.156 1518.47
  42 0.415 21.492 1472.93
  43 0.425 21.632 1514.5
  44 0.435 21.572 1516.7
  45 0.445 21.674 1500.66
  46 0.455 21.472 1511.86
  47 0.465 21.186 1479.54
  48 0.475 20.798 1531.35
  49 0.485 20.292 1513.2
