# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  1 0.005 19.102 569.994
  2 0.015 20.32 531.622
  3 0.025 21.448 540.377
  4 0.035 21.598 592.386
  5 0.045 21.328 632.068
  6 0.055 21.626 640.027
  7 0.065 21.784 644.393
  8 0.075 21.794 676.326
  9 0.085 21.99 625.27
  10 0.095 21.918 671.608
  11 0.105 21.514 709.901
  12 0.115 20.76 727.991
  13 0.125 19.474 750.193
  14 0.135 19.726 724.708
  15 0.145 20.896 723.213
  16 0.155 21.786 692.309
  17 0.165 21.894 684.344
  18 0.175 21.984 649.876
  19 0.185 21.848 684.026
  20 0.195 21.804 644.698
  21 0.205 21.398 630.391
  22 0.215 21.45 600.568
  23 0.225 21.57 603.516
  24 0.235 21.344 596.173
  25 0.245 19.706 622.184
  26 0.255 18.664 613.245
  27 0.265 19.53 660.628
  28 0.275 20.836 679.414
  29 0.285 21.552 666.674
  30 0.295 21.402 680.222
  31 0.305 21.484 723.112
  32 0.315 21.7 723.866
  33 0.325 21.826 721.866
  34 0.335 21.94 713.563
  35 0.345 21.978 720.341
  36 0.355 21.668 698.496
  37 0.365 20.86 753.757
  38 0.375 19.424 754.233
  39 0.385 19.8 751.152
  40 0.395 20.692 768.693
  41 0.405 21.66 794.354
  42 0.415 21.872 760.863
  43 0.425 21.882 766.855
  44 0.435 21.96 805.981
  45 0.445 21.472 807.45
  46 0.455 21.61 822.593
  47 0.465 21.45 859.744
  48 0.475 20.986 936.614
  49 0.485 20.398 852.904
  50 0.495 19.346 850.548
  51 0.505 19.198 845.218
  52 0.515 20.17 827.388
  53 0.525 21.264 826.183
  54 0.535 21.436 800.548
  55 0.545 21.444 790.938
  56 0.555 21.76 765.711
  57 0.565 21.73 781.934
  58 0.575 21.918 775.147
  59 0.585 21.98 762.176
  60 0.595 21.622 801.885
  61 0.605 20.836 807.726
  62 0.615 19.584 791.496
  63 0.625 19.518 792.131
  64 0.635 20.924 784.041
  65 0.645 21.566 768.231
  66 0.655 21.98 735.95
  67 0.665 21.936 760.739
  68 0.675 21.874 727.514
  69 0.685 21.636 776.541
  70 0.695 21.444 769.795
  71 0.705 21.544 743.061
  72 0.715 21.416 763.027
  73 0.725 20.834 737.575
  74 0.735 19.544 691.57
  75 0.745 18.914 698.455
  76 0.755 19.834 701.501
  77 0.765 20.99 701.678
  78 0.775 21.558 705.052
  79 0.785 21.376 702.2
  80 0.795 21.578 720.231
  81 0.805 21.7 722.551
  82 0.815 21.892 721.049
  83 0.825 21.976 734.078
  84 0.835 21.916 694.167
  85 0.845 21.594 690.984
  86 0.855 20.712 684.915
  87 0.865 19.808 636.293
  88 0.875 19.798 674.491
  89 0.885 20.65 659.843
  90 0.895 21.506 694.206
  91 0.905 21.978 643.585
  92 0.915 21.974 642.501
  93 0.925 21.864 636.34
  94 0.935 21.71 653.137
  95 0.945 21.638 624.101
  96 0.955 21.446 615.236
  97 0.965 21.486 640.036
  98 0.975 21.232 625.152
  99 0.985 20.302 598.916
  100 0.995 19.356 590.688
50000 100 2111.9999999999995
  1 0.005 19.226 638.603
  2 0.015 20.218 581.149
  3 0.025 21.4 603.761
  4 0.035 21.458 617.078
  5 0.045 21.492 603.416
  6 0.055 21.602 612.145
  7 0.065 21.68 616.411
  8 0.075 21.878 631.03
  9 0.085 21.99 661.738
  10 0.095 21.932 709.281
  11 0.105 21.702 708.274
  12 0.115 20.606 735.951
  13 0.125 19.5 743.479
  14 0.135 19.552 747.348
  15 0.145 21.004 735.636
  16 0.155 21.7 720.769
  17 0.165 22 722.599
  18 0.175 21.96 680.81
  19 0.185 21.818 671.415
  20 0.195 21.712 683.896
  21 0.205 21.494 654.095
  22 0.215 21.386 691.461
  23 0.225 21.602 605.062
  24 0.235 21.24 628.338
  25 0.245 19.626 656.578
  26 0.255 18.564 684.674
  27 0.265 19.534 637.502
  28 0.275 21.08 642.851
  29 0.285 21.588 645.499
  30 0.295 21.428 671.424
  31 0.305 21.568 667.154
  32 0.315 21.62 705.716
  33 0.325 21.818 695.331
  34 0.335 21.99 731.271
  35 0.345 21.958 772.509
  36 0.355 21.728 778.096
  37 0.365 20.69 759.014
  38 0.375 19.82 772.595
  39 0.385 19.748 761.498
  40 0.395 20.746 721.549
  41 0.405 21.318 723.587
  42 0.415 22.022 746.71
  43 0.425 21.89 770.742
  44 0.435 21.846 767.688
  45 0.445 21.718 786.905
  46 0.455 21.382 838.779
  47 0.465 21.63 850.989
  48 0.475 21.118 831.161
  49 0.485 20.452 887.206
  50 0.495 19.468 846.561
  51 0.505 19.062 908.173
  52 0.515 20.088 856.916
  53 0.525 21.116 859.331
  54 0.535 21.392 902.916
  55 0.545 21.376 859.887
  56 0.555 21.744 818.746
  57 0.565 21.712 811.26
  58 0.575 21.99 817.689
  59 0.585 21.864 815.198
  60 0.595 21.75 759.859
  61 0.605 20.742 770.451
  62 0.615 19.752 737.943
  63 0.625 19.386 778.326
  64 0.635 20.74 804.831
  65 0.645 21.708 762.293
  66 0.655 22.006 754.191
  67 0.665 21.918 759.411
  68 0.675 21.878 707.281
  69 0.685 21.696 735.299
  70 0.695 21.402 803.164
  71 0.705 21.558 782.012
  72 0.715 21.37 761.062
  73 0.725 20.772 739.631
  74 0.735 19.242 752.726
  75 0.745 18.78 705.581
  76 0.755 20.146 747.676
  77 0.765 21.084 739.71
