# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  1 0.005 18.962 367.169
  2 0.015 20.69 396.214
  3 0.025 21.612 414.003
  4 0.035 21.488 423.852
  5 0.045 21.338 459.341
  6 0.055 21.614 440.392
  7 0.065 21.742 423.678
  8 0.075 21.95 428.111
  9 0.085 22.002 416.696
  10 0.095 21.994 451.633
  11 0.105 21.846 434.991
  12 0.115 21.336 423.297
  13 0.125 19.298 412.658
  14 0.135 18.928 415.184
  15 0.145 20.802 446.046
  16 0.155 21.796 455.589
  17 0.165 21.994 477.973
  18 0.175 22 501.094
  19 0.185 21.916 502.542
  20 0.195 21.686 527.593
  21 0.205 21.526 543.588
  22 0.215 21.436 556.053
  23 0.225 21.57 514.44
  24 0.235 21.288 517.054
  25 0.245 19.998 475.231
  26 0.255 18.634 495.266
  27 0.265 19.222 527.373
  28 0.275 20.792 517.602
  29 0.285 21.51 511.245
  30 0.295 21.572 510.661
  31 0.305 21.312 522.224
  32 0.315 21.666 503.909
  33 0.325 21.914 513.313
  34 0.335 21.962 548.338
  35 0.345 21.996 558.948
  36 0.355 21.674 574.91
  37 0.365 20.626 607.023
  38 0.375 19.398 565.745
  39 0.385 19.64 576.451
  40 0.395 20.886 568.725
  41 0.405 21.808 568.721
  42 0.415 21.958 565.182
  43 0.425 21.964 569.278
  44 0.435 21.872 563.809
  45 0.445 21.534 569.152
  46 0.455 21.42 552.242
  47 0.465 21.458 552.272
  48 0.475 21.484 552.58
  49 0.485 20.192 552.463
  50 0.495 18.782 562.636
  51 0.505 18.912 573.208
  52 0.515 20.66 565.809
  53 0.525 21.474 555.695
  54 0.535 21.516 586.232
  55 0.545 21.314 620.922
  56 0.555 21.598 595.741
  57 0.565 21.872 613.402
  58 0.575 21.966 567.325
  59 0.585 21.992 576.926
  60 0.595 21.77 602.139
  61 0.605 21.148 580.321
  62 0.615 19.422 547.221
  63 0.625 19.272 525.309
  64 0.635 20.658 535.422
  65 0.645 21.73 564.511
  66 0.655 21.992 535.048
  67 0.665 22 525.306
  68 0.675 21.944 532.48
  69 0.685 21.606 533.091
  70 0.695 21.492 531.909
  71 0.705 21.48 508.579
  72 0.715 21.492 527.314
  73 0.725 21.206 528.366
  74 0.735 19.216 530.087
  75 0.745 18.212 509.542
  76 0.755 19.95 505.672
  77 0.765 21.356 521.205
  78 0.775 21.376 510.248
  79 0.785 21.476 519.098
  80 0.795 21.454 495.138
  81 0.805 21.858 500.465
  82 0.815 21.896 517.452
  83 0.825 21.98 503.015
  84 0.835 22.004 490.457
  85 0.845 21.754 478.031
  86 0.855 20.59 465.754
  87 0.865 19.2 458.786
  88 0.875 19.598 455.956
  89 0.885 21.062 473.327
  90 0.895 21.844 476.821
  91 0.905 21.956 475.2
  92 0.915 21.992 456.891
  93 0.925 21.924 454.007
  94 0.935 21.738 422.154
  95 0.945 21.412 405.377
  96 0.955 21.446 419.74
  97 0.965 21.634 409.98
  98 0.975 21.556 386.465
  99 0.985 20.314 405.512
  100 0.995 18.598 391.899
50000 100 2112
  1 0.005 18.26 407.119
  2 0.015 20.428 395.151
  3 0.025 21.548 403.839
  4 0.035 21.646 394.409
  5 0.045 21.376 411.467
  6 0.055 21.48 419.01
  7 0.065 21.664 435.242
  8 0.075 21.966 457.535
  9 0.085 21.99 456.021
  10 0.095 21.988 438.802
  11 0.105 21.884 456.162
  12 0.115 21.228 442.441
  13 0.125 19.268 460.674
  14 0.135 18.866 457.93
  15 0.145 21.092 445.179
  16 0.155 21.674 452.665
  17 0.165 22 457.618
  18 0.175 21.986 451.51
  19 0.185 21.93 466.061
  20 0.195 21.724 514.013
  21 0.205 21.502 499.443
  22 0.215 21.414 492.411
  23 0.225 21.562 511.698
  24 0.235 21.398 504.696
  25 0.245 19.922 502.602
  26 0.255 18.26 532.802
  27 0.265 19.37 541.528
  28 0.275 20.98 558.21
  29 0.285 21.522 561.294
  30 0.295 21.472 530.666
  31 0.305 21.388 564.354
  32 0.315 21.668 532.556
  33 0.325 21.914 569.779
  34 0.335 21.988 564.473
  35 0.345 21.972 538.625
  36 0.355 21.862 541.984
  37 0.365 20.74 537.613
  38 0.375 18.998 554.857
  39 0.385 19.464 575.584
  40 0.395 21.172 582.458
  41 0.405 21.814 581.773
  42 0.415 21.978 577.235
  43 0.425 21.96 574.17
  44 0.435 21.814 587.038
  45 0.445 21.68 560.003
  46 0.455 21.392 565.855
  47 0.465 21.448 565.113
  48 0.475 21.478 543.372
  49 0.485 20.502 564.374
  50 0.495 18.63 597.586
  51 0.505 18.696 618.617
  52 0.515 20.558 623.782
  53 0.525 21.548 582.345
  54 0.535 21.428 575.041
  55 0.545 21.344 594.519
  56 0.555 21.682 573.194
  57 0.565 21.864 573.836
  58 0.575 21.984 581.949
  59 0.585 21.9 563.599
  60 0.595 21.898 563.992
  61 0.605 20.902 533.543
  62 0.615 19.004 564.683
  63 0.625 19.316 557.382
  64 0.635 21.124 538.376
  65 0.645 21.878 528.181
  66 0.655 21.964 534.207
  67 0.665 21.982 508.44
  68 0.675 21.89 497.668
  69 0.685 21.484 538.54
  70 0.695 21.5 530.111
  71 0.705 21.544 515.104
  72 0.715 21.462 556.421
  73 0.725 20.82 570.554
  74 0.735 19.02 549.592
  75 0.745 18.714 549.888
  76 0.755 20.046 537.259
  77 0.765 21.446 490.149
  78 0.775 21.54 488.994
  79 0.785 21.394 480.294
  80 0.795 21.534 491.804
  81 0.805 21.72 482.311
  82 0.815 21.922 477.275
  83 0.825 22 460.993
  84 0.835 21.984 517.348
  85 0.845 21.924 491.447
  86 0.855 21.122 503.735
  87 0.865 19.178 495.39
  88 0.875 19.274 476.125
  89 0.885 20.766 465.175
  90 0.895 21.762 443.906
  91 0.905 21.978 446.936
  92 0.915 21.99 434.06
  93 0.925 21.93 444.305
  94 0.935 21.858 428.408
  95 0.945 21.514 419.115
  96 0.955 21.37 405.393
  97 0.965 21.534 388.053
  98 0.975 21.67 403.774
  99 0.985 20.854 390.335
  100 0.995 18.922 386.805
55000 100 2112
  1 0.005 18.884 394.323
  2 0.015 20.628 391.779
  3 0.025 21.642 403.396
  4 0.035 21.558 401.108
  5 0.045 21.402 427.129
  6 0.055 21.484 434.715
  7 0.065 21.81 492.152
  8 0.075 21.912 459.372
  9 0.085 21.986 444.123
  10 0.095 22 431.032
  11 0.105 21.716 444.895
  12 0.115 20.798 468.186
  13 0.125 19.47 416.706
  14 0.135 19.202 426.507
  15 0.145 21.002 432.449
  16 0.155 21.84 455.62
  17 0.165 21.97 461.905
  18 0.175 21.99 450.909
  19 0.185 21.944 461.293
  20 0.195 21.688 474.351
  21 0.205 21.524 482.889
  22 0.215 21.36 467.529
  23 0.225 21.618 471.745
  24 0.235 21.284 488.976
  25 0.245 19.948 509.716
  26 0.255 18.294 561.913
  27 0.265 19.32 571.742
  28 0.275 21.068 544.792
  29 0.285 21.56 540.105
  30 0.295 21.416 535.197
  31 0.305 21.4 538.865
  32 0.315 21.672 517.841
  33 0.325 21.934 514.295
  34 0.335 21.99 516.92
  35 0.345 21.986 536.106
  36 0.355 21.844 522.172
  37 0.365 20.698 547.191
  38 0.375 18.982 584.253
  39 0.385 19.668 591.831
  40 0.395 21.042 596.607
  41 0.405 21.786 633.215
  42 0.415 21.968 612.937
  43 0.425 21.972 592.235
  44 0.435 21.786 576.303
  45 0.445 21.624 544.395
  46 0.455 21.422 534.008
  47 0.465 21.446 570.701
  48 0.475 21.408 597.188
  49 0.485 20.18 607.448
  50 0.495 18.734 608.871
  51 0.505 19.164 589.564
  52 0.515 20.496 607.594
  53 0.525 21.436 584.906
  54 0.535 21.426 593.819
  55 0.545 21.438 570.918
  56 0.555 21.67 563.606
  57 0.565 21.832 542.485
  58 0.575 21.984 575.134
  59 0.585 21.992 562.134
  60 0.595 21.906 551.503
  61 0.605 21.142 557.194
  62 0.615 19.404 528.776
  63 0.625 18.93 559.391
