# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  1 0.005 19.818 1131.5
  2 0.015 20.678 1139.34
  3 0.025 21.192 1136.85
  4 0.035 21.388 1143.34
  5 0.045 21.606 1200.52
  6 0.055 21.746 1103.11
  7 0.065 21.686 1138.18
  8 0.075 21.808 1189.8
  9 0.085 21.926 1196.55
  10 0.095 21.692 1179.46
  11 0.105 21.564 1190.66
  12 0.115 20.748 1177.69
  13 0.125 20.336 1180.01
  14 0.135 20.314 1266.87
  15 0.145 20.788 1221.26
  16 0.155 21.226 1233.99
  17 0.165 21.472 1264.31
  18 0.175 21.748 1261.78
  19 0.185 21.804 1345.11
  20 0.195 21.738 1363.91
  21 0.205 21.592 1502.28
  22 0.215 21.48 1423.76
  23 0.225 21.334 1408.35
  24 0.235 20.724 1369.17
  25 0.245 20.334 1295.33
  26 0.255 20.124 1336.05
  27 0.265 19.886 1319.88
  28 0.275 20.286 1341.22
  29 0.285 20.824 1404.19
  30 0.295 21.382 1430.13
  31 0.305 21.408 1443.33
  32 0.315 21.66 1449.96
  33 0.325 21.814 1423.68
  34 0.335 21.76 1464.57
  35 0.345 21.628 1411.99
  36 0.355 21.484 1416.85
  37 0.365 20.818 1331.16
  38 0.375 20.504 1332.76
  39 0.385 19.924 1397.34
  40 0.395 20.546 1350.25
  41 0.405 21.228 1370.77
  42 0.415 21.72 1361.76
  43 0.425 21.84 1389.27
  44 0.435 21.892 1390.11
  45 0.445 21.712 1452.31
  46 0.455 21.504 1391.07
  47 0.465 21.394 1427.41
  48 0.475 21.046 1459.33
  49 0.485 20.332 1504.39
  50 0.495 19.784 1416.47
  51 0.505 19.644 1368.04
  52 0.515 20.1 1401.6
  53 0.525 20.89 1431.89
  54 0.535 21.194 1461.87
  55 0.545 21.662 1371.75
  56 0.555 21.656 1448.06
  57 0.565 21.702 1373.23
  58 0.575 21.772 1361.92
  59 0.585 21.856 1369.81
  60 0.595 21.366 1409.06
  61 0.605 20.45 1441.6
  62 0.615 20.436 1422.08
  63 0.625 20.02 1524.37
  64 0.635 20.948 1412.26
  65 0.645 21.338 1365.36
  66 0.655 21.544 1454.47
  67 0.665 21.804 1449.74
  68 0.675 21.768 1488.07
  69 0.685 21.638 1480.91
  70 0.695 21.37 1446.68
  71 0.705 21.346 1452.58
  72 0.715 20.846 1413.15
  73 0.725 20.286 1360.35
  74 0.735 19.836 1367.8
  75 0.745 20.002 1301.01
  76 0.755 20.248 1296.47
  77 0.765 20.894 1309.32
  78 0.775 21.4 1312.05
  79 0.785 21.546 1317.19
  80 0.795 21.518 1373.63
  81 0.805 21.758 1306.96
  82 0.815 21.844 1320.3
  83 0.825 21.828 1341.13
  84 0.835 21.502 1363.28
  85 0.845 21.112 1292.99
  86 0.855 20.594 1301.76
  87 0.865 20.124 1283.95
  88 0.875 20.37 1262.18
  89 0.885 20.954 1231.93
  90 0.895 21.676 1220.35
  91 0.905 21.658 1218.13
  92 0.915 21.89 1191.53
  93 0.925 21.86 1266.1
  94 0.935 21.616 1235.08
  95 0.945 21.594 1290.49
  96 0.955 21.494 1225.79
  97 0.965 21.248 1277.17
  98 0.975 20.732 1244.7
  99 0.985 20.158 1223.44
  100 0.995 19.666 1142.53
50000 100 2111.9999999999995
  1 0.005 19.818 1181.08
  2 0.015 20.474 1146.83
  3 0.025 21.124 1145.67
