# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2111.9999999999995
  8 0.075 21.944 486.209
  9 0.085 22.024 497.134
  10 0.095 21.97 496.877
  11 0.105 21.764 502.038
  12 0.115 20.782 492.308
  13 0.125 19.464 523.357
  14 0.135 19.47 535.241
  15 0.145 20.898 527.037
  16 0.155 21.638 586.198
  17 0.165 21.974 605.213
  18 0.175 21.968 601.248
  19 0.185 21.94 619.228
  20 0.195 21.682 610.403
  21 0.205 21.612 614.363
  22 0.215 21.396 572.422
  23 0.225 21.524 579.934
  24 0.235 21.482 588.95
  25 0.245 20.176 579.392
  26 0.255 18.452 596.318
  27 0.265 18.942 597.478
  28 0.275 20.97 602.928
  29 0.285 21.558 582.831
  30 0.295 21.48 581.289
  31 0.305 21.408 645.602
  32 0.315 21.616 662.969
  33 0.325 21.852 641.76
  34 0.335 21.972 644.647
  35 0.345 21.98 657.743
  36 0.355 21.736 657.99
  37 0.365 21.32 634.324
  38 0.375 19.612 652.697
  39 0.385 19.174 633.256
  40 0.395 20.53 671.428
  41 0.405 21.698 697.107
  42 0.415 21.93 708.901
  43 0.425 21.978 707.096
  44 0.435 21.834 721.284
  45 0.445 21.734 726.674
  46 0.455 21.38 746.055
  47 0.465 21.472 725.616
  48 0.475 21.342 744.347
  49 0.485 20.466 779.203
  50 0.495 19.33 741.715
  51 0.505 18.728 752.095
  52 0.515 20.218 720.469
  53 0.525 21.228 731.238
  54 0.535 21.48 722.1
  55 0.545 21.522 735.097
  56 0.555 21.568 753.651
  57 0.565 21.782 737.707
  58 0.575 21.944 695.069
  59 0.585 21.99 686.175
  60 0.595 21.672 691.333
  61 0.605 20.714 657.992
  62 0.615 19.692 658.327
  63 0.625 19.344 650.263
  64 0.635 20.974 632.31
  65 0.645 21.672 643.156
  66 0.655 21.9 704.151
  67 0.665 21.984 682.76
  68 0.675 21.872 625.678
  69 0.685 21.54 635.945
  70 0.695 21.514 598.994
  71 0.705 21.53 598.605
  72 0.715 21.47 650.925
  73 0.725 20.832 664.396
  74 0.735 19.276 661.322
  75 0.745 18.542 637.178
  76 0.755 19.99 638.8
  77 0.765 21.408 612.214
  78 0.775 21.46 586.02
  79 0.785 21.528 590.299
  80 0.795 21.432 582.585
  81 0.805 21.75 557.724
  82 0.815 21.91 556.324
  83 0.825 21.998 564.347
  84 0.835 21.972 569.305
  85 0.845 21.668 569.028
  86 0.855 21.074 595.193
  87 0.865 19.036 622.572
  88 0.875 19.466 601.412
  89 0.885 20.868 559.144
  90 0.895 21.916 548.693
  91 0.905 22 505.702
  92 0.915 21.972 531.969
  93 0.925 21.842 539.493
  94 0.935 21.834 522.681
  95 0.945 21.43 533.285
  96 0.955 21.394 524.148
  97 0.965 21.592 517.645
  98 0.975 21.406 494.234
  99 0.985 20.144 483.136
  100 0.995 18.626 468.273
60000 100 2112
  1 0.005 19.124 464.065
  2 0.015 20.93 453.503
  3 0.025 21.648 458.198
  4 0.035 21.48 469.369
  5 0.045 21.45 470.597
  6 0.055 21.49 482.801
  7 0.065 21.786 520.002
  8 0.075 21.964 516.695
  9 0.085 21.98 525.773
  10 0.095 21.958 528.819
  11 0.105 21.8 513.865
  12 0.115 20.874 510.559
  13 0.125 19.57 505.997
  14 0.135 19.184 540.756
  15 0.145 20.916 575.458
  16 0.155 21.706 553.812
  17 0.165 21.992 560.965
  18 0.175 21.974 565.738
  19 0.185 21.928 591.631
  20 0.195 21.796 574.878
  21 0.205 21.46 580.521
  22 0.215 21.426 580.425
  23 0.225 21.5 603.564
  24 0.235 21.462 616.096
  25 0.245 20.19 605.151
  26 0.255 18.332 605.079
  27 0.265 19.072 573.656
  28 0.275 20.974 562.452
  29 0.285 21.62 545.344
  30 0.295 21.43 597.3
  31 0.305 21.48 656.961
  32 0.315 21.64 648.892
  33 0.325 21.742 644.844
  34 0.335 22.004 664.292
  35 0.345 21.946 675.598
  36 0.355 21.792 677.019
  37 0.365 21.292 679.348
  38 0.375 19.594 669.257
  39 0.385 19.028 665.376
  40 0.395 20.7 688.844
  41 0.405 21.666 659.149
  42 0.415 21.95 674.574
  43 0.425 21.964 682.256
  44 0.435 21.82 693.2
  45 0.445 21.6 752.547
  46 0.455 21.586 685.087
  47 0.465 21.47 746.93
  48 0.475 21.354 728.427
  49 0.485 20.756 714.015
  50 0.495 19.314 733.528
  51 0.505 18.652 755.718
  52 0.515 20.068 750.926
  53 0.525 21.184 811.043
  54 0.535 21.418 754.264
  55 0.545 21.468 701.184
  56 0.555 21.614 720.447
  57 0.565 21.814 726.354
  58 0.575 21.934 702.457
  59 0.585 21.964 740.738
  60 0.595 21.692 719.076
  61 0.605 20.888 728.981
  62 0.615 19.488 687.691
  63 0.625 19.242 688.555
  64 0.635 20.948 698.018
  65 0.645 21.776 648.606
  66 0.655 21.988 687.264
  67 0.665 21.926 706.197
  68 0.675 21.884 658.498
  69 0.685 21.634 641.688
  70 0.695 21.414 658.783
  71 0.705 21.478 651.525
  72 0.715 21.494 631.147
  73 0.725 20.86 606.26
  74 0.735 19.17 616.013
  75 0.745 18.274 601.493
  76 0.755 20.218 585.205
  77 0.765 21.438 592.813
  78 0.775 21.564 563.365
  79 0.785 21.47 561.895
  80 0.795 21.402 583.396
  81 0.805 21.842 550.566
  82 0.815 21.956 532.398
  83 0.825 21.976 523.744
  84 0.835 21.978 555.717
  85 0.845 21.602 584.828
  86 0.855 20.57 605.2
  87 0.865 19.128 628.248
  88 0.875 19.864 613.611
  89 0.885 20.996 603.274
  90 0.895 21.862 572.317
  91 0.905 21.982 542.196
  92 0.915 21.998 528.691
  93 0.925 21.89 508.177
  94 0.935 21.73 562.119
  95 0.945 21.234 580.202
  96 0.955 21.676 537.063
  97 0.965 21.542 506.516
  98 0.975 21.378 524.875
  99 0.985 20.01 488.995
  100 0.995 18.708 488.073
65000 100 2112
  1 0.005 18.924 485.984
  2 0.015 20.418 479.758
  3 0.025 21.542 460.05
  4 0.035 21.536 502.217
  5 0.045 21.396 499.235
  6 0.055 21.57 481.232
  7 0.065 21.74 491.645
  8 0.075 21.946 480.635
  9 0.085 21.97 498.498
  10 0.095 21.98 517.162
  11 0.105 21.828 499.726
  12 0.115 20.942 532.552
  13 0.125 19.558 576.832
  14 0.135 19.254 569.304
  15 0.145 20.824 557.077
  16 0.155 21.63 569.489
  17 0.165 21.98 555.254
  18 0.175 21.978 588.741
  19 0.185 21.924 609.013
  20 0.195 21.844 626.31
  21 0.205 21.44 600.033
  22 0.215 21.384 610.914
  23 0.225 21.584 600.215
  24 0.235 21.488 600.193
  25 0.245 20.426 583.113
  26 0.255 18.306 607.751
  27 0.265 18.84 609.404
  28 0.275 20.872 606.936
  29 0.285 21.688 642.171
  30 0.295 21.45 590.661
  31 0.305 21.41 627.489
  32 0.315 21.578 597.938
  33 0.325 21.858 618.803
  34 0.335 21.94 647.301
  35 0.345 21.988 623.224
  36 0.355 21.838 627.455
  37 0.365 21.28 641.756
  38 0.375 19.772 664.405
  39 0.385 19.156 647.5
  40 0.395 20.236 662.912
  41 0.405 21.748 656.895
  42 0.415 21.98 702.595
