# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  1 0.005 17.702 185.786
  2 0.015 21.474 184.463
  3 0.025 21.938 207.847
  4 0.035 21.616 205.882
  5 0.045 21.028 219.258
  6 0.055 21.53 217.12
  7 0.065 21.884 218.843
  8 0.075 21.988 234.623
  9 0.085 22 245.179
  10 0.095 22 264.901
  11 0.105 21.96 258.509
  12 0.115 21.432 270.084
  13 0.125 18.868 270.754
  14 0.135 18.46 282.116
  15 0.145 21.404 262.833
  16 0.155 21.876 286.426
  17 0.165 22 287.49
  18 0.175 21.996 292.439
  19 0.185 21.996 258.85
  20 0.195 21.838 271.224
  21 0.205 21.464 271.378
  22 0.215 21.214 294.715
  23 0.225 21.524 299.802
  24 0.235 21.826 327.39
  25 0.245 20.068 319.95
  26 0.255 17.216 314.421
  27 0.265 19.24 308.625
  28 0.275 21.608 309.6
  29 0.285 21.764 303.098
  30 0.295 21.224 311.611
  31 0.305 21.344 308.95
  32 0.315 21.732 306.596
  33 0.325 21.952 305.021
  34 0.335 21.994 305.152
  35 0.345 22 313.752
  36 0.355 21.95 308.388
  37 0.365 21.572 329.795
  38 0.375 18.89 336.297
  39 0.385 18.544 359.777
  40 0.395 21.138 347.41
  41 0.405 21.914 383.196
  42 0.415 21.992 408.132
  43 0.425 21.99 395.679
  44 0.435 21.944 391.642
  45 0.445 21.632 394.587
  46 0.455 21.294 403.827
  47 0.465 21.374 394.77
  48 0.475 21.698 416.16
  49 0.485 20.876 416.006
  50 0.495 18.228 420.472
  51 0.505 18.16 435.519
  52 0.515 20.884 443.868
  53 0.525 21.692 421.764
  54 0.535 21.298 415.481
  55 0.545 21.376 401.036
  56 0.555 21.672 418.836
  57 0.565 21.886 394.576
  58 0.575 21.996 371.961
  59 0.585 22 363.887
  60 0.595 21.998 365.443
  61 0.605 21.158 374.915
  62 0.615 18.512 356.864
  63 0.625 19.006 349.028
  64 0.635 21.422 331.423
  65 0.645 21.904 341.736
  66 0.655 22 325.923
  67 0.665 21.994 317.1
  68 0.675 21.94 335.827
  69 0.685 21.66 310.815
  70 0.695 21.37 317.407
  71 0.705 21.256 309.163
  72 0.715 21.818 290.605
  73 0.725 21.584 293.863
  74 0.735 19.192 294.213
  75 0.745 17.202 284.675
  76 0.755 20.178 297.747
  77 0.765 21.75 289.027
  78 0.775 21.66 282.815
  79 0.785 21.232 286.499
  80 0.795 21.334 276.696
  81 0.805 21.842 277.406
  82 0.815 21.988 272.599
  83 0.825 22 282.472
  84 0.835 21.972 298.711
  85 0.845 22.012 282.791
  86 0.855 21.278 289.719
  87 0.865 18.51 292.756
  88 0.875 18.91 279.563
