# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  89 0.885 21.364 257.516
  90 0.895 21.962 232.152
  91 0.905 21.992 229.753
  92 0.915 22 246.169
  93 0.925 21.972 251.129
  94 0.935 21.866 246.708
  95 0.945 21.426 252.301
  96 0.955 21.224 237.311
  97 0.965 21.562 230.773
  98 0.975 21.888 226.057
  99 0.985 21.06 204.511
  100 0.995 17.842 202.312
50000 100 2111.9999999999995
  1 0.005 17.682 178.707
  2 0.015 21.54 182.954
  3 0.025 21.96 190.646
  4 0.035 21.578 208.074
  5 0.045 21.114 218.692
  6 0.055 21.42 233.233
  7 0.065 21.932 225.872
  8 0.075 21.992 221.097
  9 0.085 22 222.695
  10 0.095 22 240.061
  11 0.105 21.932 256.872
  12 0.115 21.158 268.794
  13 0.125 18.504 278.817
  14 0.135 18.888 261.646
  15 0.145 21.572 264.366
  16 0.155 21.946 265.147
  17 0.165 22 261.809
  18 0.175 22 263.37
  19 0.185 21.976 272.076
  20 0.195 21.804 288.047
  21 0.205 21.292 293.832
  22 0.215 21.302 292.187
  23 0.225 21.652 298.093
  24 0.235 21.746 303.037
  25 0.245 19.792 305.809
  26 0.255 17.164 296.832
  27 0.265 19.624 318.834
  28 0.275 21.628 312.778
  29 0.285 21.71 304.014
  30 0.295 21.262 303.646
  31 0.305 21.464 326.213
  32 0.315 21.616 344.574
  33 0.325 21.974 342.205
  34 0.335 21.994 344.371
  35 0.345 22 347.41
  36 0.355 21.948 354.581
  37 0.365 21.262 334.762
  38 0.375 18.768 336.223
  39 0.385 18.914 355.151
  40 0.395 21.134 339.905
  41 0.405 21.974 353.126
  42 0.415 22 347.243
  43 0.425 21.988 349.36
  44 0.435 21.952 381.308
  45 0.445 21.672 385.822
  46 0.455 21.226 397.587
  47 0.465 21.434 404.312
  48 0.475 21.67 415.132
  49 0.485 21.044 442.796
  50 0.495 18.254 442.07
  51 0.505 18.112 424.715
  52 0.515 20.74 438.441
  53 0.525 21.7 430.37
  54 0.535 21.362 416.325
  55 0.545 21.31 413.255
  56 0.555 21.576 421.574
  57 0.565 21.964 391.758
  58 0.575 21.996 365.15
  59 0.585 22 369.375
  60 0.595 21.972 362.466
  61 0.605 21.114 346.712
  62 0.615 18.734 340.364
  63 0.625 18.87 330.909
  64 0.635 21.332 322.603
  65 0.645 21.978 335.214
  66 0.655 22 316.979
  67 0.665 22 340.393
  68 0.675 21.95 326.443
  69 0.685 21.678 326.526
  70 0.695 21.37 337.794
  71 0.705 21.31 317.909
  72 0.715 21.734 314.943
  73 0.725 21.628 295.609
  74 0.735 19.378 295.096
  75 0.745 17.398 292.407
  76 0.755 19.854 285.714
  77 0.765 21.698 292.015
  78 0.775 21.66 290.08
  79 0.785 21.278 292.252
  80 0.795 21.32 289.063
  81 0.805 21.782 274.851
  82 0.815 21.962 280.662
  83 0.825 22 275.907
  84 0.835 22 291.195
  85 0.845 21.976 294.162
  86 0.855 21.35 291.614
  87 0.865 18.826 283.671
  88 0.875 18.51 272.775
  89 0.885 21.36 254.855
  90 0.895 21.978 259.832
  91 0.905 22 256.005
  92 0.915 22 260.111
  93 0.925 21.98 252.085
  94 0.935 21.872 248.477
  95 0.945 21.35 247.833
  96 0.955 21.268 237.812
  97 0.965 21.586 224.34
  98 0.975 21.9 215.055
  99 0.985 21.18 208.408
  100 0.995 17.646 209.582
55000 100 2112
  1 0.005 17.632 189.474
  2 0.015 21.402 203.022
  3 0.025 21.926 219.808
  4 0.035 21.578 226.255
  5 0.045 21.168 231.134
  6 0.055 21.384 226.836
  7 0.065 21.932 222.04
  8 0.075 21.992 228.258
  9 0.085 22 238.417
  10 0.095 22 240.346
  11 0.105 21.996 237.682
  12 0.115 21.232 250.472
  13 0.125 18.452 260.3
  14 0.135 18.876 260.615
  15 0.145 21.452 273.657
  16 0.155 21.992 264.665
  17 0.165 22 261.609
  18 0.175 22 246.391
  19 0.185 21.974 269.555
  20 0.195 21.854 248.409
  21 0.205 21.412 268.965
  22 0.215 21.132 284.214
  23 0.225 21.672 281.124
  24 0.235 21.862 269.11
  25 0.245 20.142 294.802
  26 0.255 17.3 300.153
  27 0.265 19.074 309.915
  28 0.275 21.596 323.736
  29 0.285 21.7 323.69
  30 0.295 21.31 315.821
  31 0.305 21.298 313.988
  32 0.315 21.734 326.933
  33 0.325 21.94 325.354
  34 0.335 22 355.651
  35 0.345 22 346.68
  36 0.355 21.906 364.716
  37 0.365 21.166 366.754
  38 0.375 18.718 367.21
  39 0.385 18.918 362.934
  40 0.395 21.314 379.533
  41 0.405 21.978 363.04
  42 0.415 22 363.115
  43 0.425 21.974 352.814
  44 0.435 21.896 392.432
  45 0.445 21.65 398.231
  46 0.455 21.35 389.527
  47 0.465 21.338 382.739
  48 0.475 21.674 386.703
  49 0.485 20.846 395.066
  50 0.495 18.4 405.283
  51 0.505 17.954 414.804
  52 0.515 21.018 410.978
  53 0.525 21.678 410.281
  54 0.535 21.424 409.665
  55 0.545 21.21 404.372
  56 0.555 21.668 398.229
  57 0.565 21.932 396.491
  58 0.575 21.988 387.073
  59 0.585 22 367.431
  60 0.595 21.96 362.773
  61 0.605 21.414 348.514
  62 0.615 19 353.385
  63 0.625 18.578 343.331
  64 0.635 21.192 354.478
  65 0.645 21.856 345.41
  66 0.655 22 346.134
  67 0.665 22 343.353
  68 0.675 21.944 315.357
  69 0.685 21.812 319.025
  70 0.695 21.248 317.799
  71 0.705 21.332 310.176
  72 0.715 21.696 308.026
  73 0.725 21.578 323.626
  74 0.735 19.514 322.177
  75 0.745 17.08 314.848
  76 0.755 20.004 312.08
  77 0.765 21.748 311.116
  78 0.775 21.716 313.437
  79 0.785 21.106 306.945
  80 0.795 21.404 294.035
  81 0.805 21.84 281.839
  82 0.815 21.978 264.21
  83 0.825 22 265.807
  84 0.835 22 260.487
  85 0.845 21.984 273.487
  86 0.855 21.424 276.75
  87 0.865 18.966 266.087
  88 0.875 18.282 270.898
  89 0.885 21.372 259.964
  90 0.895 21.972 254.408
  91 0.905 22 263.686
  92 0.915 22 268.299
  93 0.925 21.982 255.069
  94 0.935 21.882 246.598
  95 0.945 21.532 238.103
  96 0.955 21.096 257.323
  97 0.965 21.566 244.331
  98 0.975 21.904 235.415
  99 0.985 21.222 212.196
  100 0.995 17.802 199.126
60000 100 2112
  1 0.005 18.116 207.346
  2 0.015 21.6 197.231
  3 0.025 21.954 198.681
  4 0.035 21.51 216.691
  5 0.045 21.058 224.613
  6 0.055 21.554 224.661
  7 0.065 21.922 228.009
  8 0.075 22 224.813
  9 0.085 22 236.256
  10 0.095 21.982 237.663
  11 0.105 21.936 249.556
  12 0.115 21.164 250.019
  13 0.125 18.604 247.533
  14 0.135 18.93 234.571
  15 0.145 21.458 241.309
  16 0.155 21.926 239.096
  17 0.165 22 231.548
  18 0.175 21.994 246.776
  19 0.185 21.996 276.624
  20 0.195 21.838 274.46
  21 0.205 21.532 272.019
  22 0.215 21.13 298.857
  23 0.225 21.574 310.604
  24 0.235 21.808 302.678
  25 0.245 20.644 305.952
  26 0.255 17.556 289.97
  27 0.265 18.624 293.757
  28 0.275 21.32 308.371
  29 0.285 21.768 328.537
  30 0.295 21.354 336.617
  31 0.305 21.35 337.538
  32 0.315 21.602 352.922
  33 0.325 21.91 343.436
  34 0.335 22 333.693
  35 0.345 22 335.742
  36 0.355 21.936 363.441
  37 0.365 21.434 351.771
  38 0.375 18.882 344.793
  39 0.385 18.622 342.28
  40 0.395 21.298 339.889
  41 0.405 21.828 348.001
  42 0.415 22 351.765
  43 0.425 21.996 357.916
  44 0.435 21.964 392.836
  45 0.445 21.588 408.267
  46 0.455 21.274 421.591
  47 0.465 21.42 397.848
  48 0.475 21.676 410.215
  49 0.485 21.02 408.475
  50 0.495 18.118 405.338
  51 0.505 18.112 413.661
  52 0.515 20.902 418.654
  53 0.525 21.664 387.334
  54 0.535 21.454 414.888
  55 0.545 21.17 409.032
  56 0.555 21.748 395.77
  57 0.565 21.894 367.837
  58 0.575 22.004 365.479
  59 0.585 21.992 369.612
  60 0.595 21.922 375.545
  61 0.605 21.34 336.917
  62 0.615 18.946 359.37
  63 0.625 18.63 360.904
  64 0.635 21.188 365.231
  65 0.645 21.978 341.857
  66 0.655 22 347.638
  67 0.665 21.988 332.048
  68 0.675 21.94 317.075
  69 0.685 21.694 312.875
  70 0.695 21.298 309.587
  71 0.705 21.338 311.175
  72 0.715 21.756 308.418
  73 0.725 21.516 326.948
  74 0.735 18.756 337.464
  75 0.745 17.62 326.989
  76 0.755 20.334 315.94
  77 0.765 21.732 311.482
  78 0.775 21.54 314.323
  79 0.785 21.298 316.398
  80 0.795 21.44 300.875
  81 0.805 21.804 299.268
  82 0.815 21.95 283.179
  83 0.825 21.996 283.043
  84 0.835 22 272.394
  85 0.845 21.972 278.224
  86 0.855 21.142 275.812
  87 0.865 18.65 269.357
  88 0.875 18.856 257.12
  89 0.885 21.418 250.827
  90 0.895 21.962 245.904
  91 0.905 22 260.089
  92 0.915 22 255.115
  93 0.925 21.986 259.887
  94 0.935 21.868 247.058
  95 0.945 21.38 253.327
  96 0.955 21.222 225.702
  97 0.965 21.562 225.185
  98 0.975 21.92 226.054
  99 0.985 20.976 230.913
  100 0.995 17.372 230.653
65000 100 2112
  1 0.005 17.772 187.037
  2 0.015 21.434 186.602
  3 0.025 21.942 200.675
  4 0.035 21.65 211.052
  5 0.045 21.058 221.79
  6 0.055 21.428 225.223
  7 0.065 21.914 211.64
  8 0.075 22 240.732
  9 0.085 22 228.056
  10 0.095 22 224.403
  11 0.105 21.956 244.721
  12 0.115 21.372 241.268
  13 0.125 19.046 236.542
  14 0.135 18.546 231.874
  15 0.145 21.134 267.086
  16 0.155 21.958 261.398
  17 0.165 21.988 272.47
  18 0.175 22 276.133
  19 0.185 21.994 277.275
  20 0.195 21.794 295.174
  21 0.205 21.376 304.651
  22 0.215 21.252 292.414
  23 0.225 21.626 305.079
  24 0.235 21.752 293.303
  25 0.245 20.09 297.884
  26 0.255 17.424 289
  27 0.265 19.266 325.799
  28 0.275 21.404 340.889
  29 0.285 21.688 366.456
  30 0.295 21.198 357.24
  31 0.305 21.522 333.277
  32 0.315 21.67 345.446
  33 0.325 21.944 338.592
  34 0.335 22 343.025
  35 0.345 21.992 348.372
  36 0.355 21.884 339.482
  37 0.365 21.01 323.675
  38 0.375 18.832 338.59
  39 0.385 19.088 336.914
  40 0.395 21.342 337.575
  41 0.405 21.852 336.408
  42 0.415 22 338.957
  43 0.425 21.986 367.665
  44 0.435 21.93 377.887
  45 0.445 21.658 379.103
  46 0.455 21.278 413.367
  47 0.465 21.41 428.682
  48 0.475 21.618 420.983
  49 0.485 20.884 409.599
  50 0.495 18.172 404.648
  51 0.505 18.128 411.755
  52 0.515 20.996 418.454
  53 0.525 21.676 413.995
  54 0.535 21.45 403.488
  55 0.545 21.222 394.206
  56 0.555 21.658 388.23
  57 0.565 21.942 384.645
  58 0.575 21.992 355.641
  59 0.585 22 362.453
  60 0.595 21.974 378.68
  61 0.605 21.376 376.628
  62 0.615 18.846 378.594
  63 0.625 18.678 369.009
  64 0.635 21.158 369.301
  65 0.645 21.968 345.678
  66 0.655 22 334.577
  67 0.665 22 331.193
  68 0.675 21.98 325.771
  69 0.685 21.704 343.035
  70 0.695 21.286 328.137
  71 0.705 21.276 307.967
  72 0.715 21.774 305.037
  73 0.725 21.552 310.848
  74 0.735 19.236 311.643
  75 0.745 17.454 292.192
  76 0.755 19.928 295.667
  77 0.765 21.746 312.174
  78 0.775 21.618 297.428
  79 0.785 21.278 298.852
  80 0.795 21.502 290.947
  81 0.805 21.712 285.563
  82 0.815 21.964 277.884
  83 0.825 21.99 275.952
  84 0.835 21.99 260.234
  85 0.845 21.938 276.888
  86 0.855 21.168 269.053
  87 0.865 19.12 255.516
  88 0.875 18.618 261.612
  89 0.885 21.204 253.547
  90 0.895 21.962 253.594
  91 0.905 22 263.895
  92 0.915 22 266.306
  93 0.925 21.992 253.964
  94 0.935 21.844 264.668
  95 0.945 21.298 255.002
  96 0.955 21.38 224.276
  97 0.965 21.558 221.816
  98 0.975 21.852 224.616
  99 0.985 20.974 206.38
  100 0.995 17.904 203
70000 100 2112
  1 0.005 17.494 204.804
  2 0.015 21.346 201.374
  3 0.025 21.96 205.767
  4 0.035 21.634 210.24
  5 0.045 21.126 205.966
  6 0.055 21.39 217.62
  7 0.065 21.892 204.896
  8 0.075 21.998 223.498
  9 0.085 22 221.949
  10 0.095 22 213.948
  11 0.105 21.958 223.89
  12 0.115 21.474 234.239
  13 0.125 19.184 251.868
  14 0.135 18.234 254.064
  15 0.145 21.19 274.055
  16 0.155 21.96 263.599
  17 0.165 22 258.495
  18 0.175 22 287.019
  19 0.185 21.974 286.141
  20 0.195 21.852 296.253
  21 0.205 21.504 301.895
  22 0.215 21.096 297.291
  23 0.225 21.654 303.288
  24 0.235 21.756 311.256
  25 0.245 20.168 308.132
  26 0.255 17.47 311.112
  27 0.265 19.09 337.424
  28 0.275 21.47 318.262
  29 0.285 21.664 321.218
  30 0.295 21.418 320.703
  31 0.305 21.186 344.744
  32 0.315 21.738 367.233
  33 0.325 21.96 375.411
  34 0.335 22 370.147
  35 0.345 21.99 368.204
  36 0.355 21.922 365.376
  37 0.365 20.986 353.542
  38 0.375 18.654 346.723
  39 0.385 19.212 353.092
  40 0.395 21.28 358.378
  41 0.405 21.956 390.207
  42 0.415 22 372.019
  43 0.425 21.992 369.366
  44 0.435 21.848 370.29
  45 0.445 21.7 387.554
  46 0.455 21.246 399.95
  47 0.465 21.458 426.624
  48 0.475 21.658 436.606
  49 0.485 20.538 423.107
  50 0.495 17.89 422.969
  51 0.505 18.5 452.924
  52 0.515 21.186 434.719
  53 0.525 21.722 422.926
  54 0.535 21.308 391.377
  55 0.545 21.246 395.967
  56 0.555 21.754 358.667
  57 0.565 21.96 371.405
  58 0.575 21.994 364.388
  59 0.585 22 363.545
  60 0.595 21.956 349.609
  61 0.605 21.206 356.927
  62 0.615 18.592 345.882
  63 0.625 18.724 355.215
  64 0.635 21.594 344.489
  65 0.645 21.928 321.72
  66 0.655 22 335.441
  67 0.665 21.994 324.393
  68 0.675 21.968 326.628
  69 0.685 21.746 342.084
  70 0.695 21.258 340.216
  71 0.705 21.338 342.031
  72 0.715 21.716 327.965
  73 0.725 21.61 306.459
  74 0.735 19.238 303.23
  75 0.745 17.45 280.774
  76 0.755 20.03 280.758
  77 0.765 21.622 303.047
  78 0.775 21.654 309.791
  79 0.785 21.234 314.409
  80 0.795 21.41 299.385
  81 0.805 21.754 284.31
  82 0.815 21.978 269.716
  83 0.825 22 274.94
  84 0.835 22 267.938
  85 0.845 21.984 260.241
  86 0.855 21.234 273.114
  87 0.865 19.12 271.893
  88 0.875 18.438 256.181
  89 0.885 21.242 240.085
  90 0.895 21.982 236.117
  91 0.905 22 229.342
  92 0.915 22 235.211
  93 0.925 21.986 240.734
  94 0.935 21.828 229.493
  95 0.945 21.456 225.802
  96 0.955 21.288 229.587
  97 0.965 21.486 214.359
  98 0.975 21.91 207.118
  99 0.985 21.4 204.106
  100 0.995 17.806 192.564
75000 100 2111.9999999999995
  1 0.005 17.178 185.224
  2 0.015 21.104 190.925
  3 0.025 21.956 204.954
  4 0.035 21.754 208.465
  5 0.045 21 219.57
  6 0.055 21.366 210.011
  7 0.065 21.898 213.9
  8 0.075 21.996 220.4
  9 0.085 22 235.181
  10 0.095 22 239.86
  11 0.105 21.956 266.115
  12 0.115 21.544 257.977
  13 0.125 19.244 248.468
  14 0.135 18.218 254.784
  15 0.145 21.042 268.361
  16 0.155 21.996 262.263
  17 0.165 22 276.013
  18 0.175 22 285.757
  19 0.185 22 289.817
  20 0.195 21.834 292.148
  21 0.205 21.454 302.724
  22 0.215 21.11 306.203
  23 0.225 21.656 317.633
  24 0.235 21.784 312.219
  25 0.245 20.392 305.659
  26 0.255 17.168 330.393
  27 0.265 19.118 346.872
  28 0.275 21.506 320.84
  29 0.285 21.684 319.316
  30 0.295 21.36 323.308
  31 0.305 21.248 331.211
  32 0.315 21.72 339.285
  33 0.325 21.966 341.153
  34 0.335 22 345.686
  35 0.345 22 346.643
  36 0.355 21.876 370.384
  37 0.365 20.902 361.634
  38 0.375 18.718 357.829
  39 0.385 19.112 336.478
  40 0.395 21.432 348.164
  41 0.405 21.96 377.449
  42 0.415 22 390.25
  43 0.425 21.982 387.998
  44 0.435 21.934 376.464
  45 0.445 21.554 375.687
  46 0.455 21.31 385.325
  47 0.465 21.436 385.648
  48 0.475 21.694 393.068
  49 0.485 20.702 399.489
  50 0.495 17.998 409.62
  51 0.505 18.35 421.206
  52 0.515 21.048 432.529
  53 0.525 21.766 428.72
  54 0.535 21.368 415.742
  55 0.545 21.25 394.254
  56 0.555 21.688 381.549
  57 0.565 21.926 394.184
  58 0.575 21.994 386.232
  59 0.585 22 385.881
  60 0.595 21.904 409.941
  61 0.605 21.11 398.119
  62 0.615 18.668 378.137
  63 0.625 19.042 359.359
  64 0.635 21.284 336.016
  65 0.645 21.992 331.058
  66 0.655 22 359.357
  67 0.665 22 363.975
  68 0.675 21.948 321.627
  69 0.685 21.75 322.637
  70 0.695 21.14 302.866
  71 0.705 21.388 295.682
  72 0.715 21.786 310.028
  73 0.725 21.454 298.92
  74 0.735 19.044 305.502
  75 0.745 17.316 308.408
  76 0.755 20.372 294.088
  77 0.765 21.756 297.451
  78 0.775 21.62 310.648
  79 0.785 21.108 297.063
  80 0.795 21.48 280.471
  81 0.805 21.864 274.49
  82 0.815 21.974 274.586
  83 0.825 22 279.457
  84 0.835 22 260.729
  85 0.845 22 243.032
  86 0.855 21.294 254.748
  87 0.865 18.954 251.901
  88 0.875 18.388 255.909
  89 0.885 21.406 259.074
  90 0.895 21.958 241.254
  91 0.905 22 231.469
  92 0.915 22 229.118
  93 0.925 21.996 235.562
  94 0.935 21.874 231.212
  95 0.945 21.418 229.117
  96 0.955 21.272 223.027
  97 0.965 21.546 214.248
  98 0.975 21.852 212.955
  99 0.985 21.46 197.925
  100 0.995 18.33 196.342
80000 100 2112.0000000000005
  1 0.005 17.594 190.749
  2 0.015 21.376 189.459
  3 0.025 21.958 184.212
  4 0.035 21.614 191.305
  5 0.045 21.08 218.269
  6 0.055 21.506 216.949
  7 0.065 21.824 224.147
  8 0.075 21.998 219.611
  9 0.085 22 237.502
  10 0.095 22 247.794
  11 0.105 21.946 247.615
  12 0.115 21.582 255.914
  13 0.125 19.236 262.685
  14 0.135 18.066 275.73
  15 0.145 21.194 265.325
  16 0.155 21.976 263.627
  17 0.165 22 277.859
  18 0.175 22 272.701
  19 0.185 21.982 277.973
  20 0.195 21.906 283.175
  21 0.205 21.466 296.862
  22 0.215 21.106 293.841
  23 0.225 21.614 307.447
  24 0.235 21.806 309.928
  25 0.245 20.468 318.664
  26 0.255 17.63 325.434
  27 0.265 18.774 332.387
  28 0.275 21.304 327.146
  29 0.285 21.69 335.758
  30 0.295 21.35 322.197
  31 0.305 21.276 338.925
  32 0.315 21.714 347.702
  33 0.325 21.914 350.25
  34 0.335 22 337.901
  35 0.345 22 347.58
  36 0.355 21.946 342.309
  37 0.365 21.21 354.72
  38 0.375 19.016 325.841
  39 0.385 18.652 330.017
  40 0.395 21.22 348.053
  41 0.405 21.956 363.926
  42 0.415 22 375.086
  43 0.425 21.998 393.334
  44 0.435 21.918 398.7
  45 0.445 21.666 376.059
  46 0.455 21.244 389.835
  47 0.465 21.472 378.93
  48 0.475 21.612 411.14
  49 0.485 20.836 424.37
  50 0.495 18.562 423.905
  51 0.505 17.902 455.5
  52 0.515 20.884 459.206
  53 0.525 21.658 453.64
  54 0.535 21.394 428.849
  55 0.545 21.228 421.319
  56 0.555 21.704 422.284
  57 0.565 21.926 420.517
  58 0.575 21.998 393.242
  59 0.585 21.992 378.194
  60 0.595 21.778 369.709
  61 0.605 21.31 356.761
  62 0.615 18.46 364.331
  63 0.625 19.106 350.512
  64 0.635 21.364 357.429
  65 0.645 21.994 333.803
  66 0.655 21.994 344.463
  67 0.665 21.99 343.092
  68 0.675 21.898 331.755
  69 0.685 21.698 317.135
  70 0.695 21.26 334.154
  71 0.705 21.396 324.135
  72 0.715 21.742 317.884
  73 0.725 21.348 308.694
  74 0.735 18.446 290.101
  75 0.745 17.636 291.297
  76 0.755 20.688 284.54
  77 0.765 21.842 285.473
  78 0.775 21.59 268.69
  79 0.785 21.108 271.304
  80 0.795 21.502 270.31
  81 0.805 21.868 263.011
  82 0.815 21.988 246.961
  83 0.825 22 255.524
  84 0.835 22 252.814
  85 0.845 21.918 264.765
  86 0.855 21.306 268.387
  87 0.865 18.924 267.92
  88 0.875 18.574 275.789
  89 0.885 21.344 266.909
  90 0.895 21.934 258.73
  91 0.905 22 246.63
  92 0.915 22 239.754
  93 0.925 21.994 225.421
  94 0.935 21.906 234.131
  95 0.945 21.414 230.707
  96 0.955 21.194 210.544
  97 0.965 21.52 216.608
  98 0.975 21.934 215.415
  99 0.985 21.282 198.092
  100 0.995 17.806 199.437
85000 100 2112.0000000000005
  1 0.005 17.556 207.75
  2 0.015 21.376 205.654
  3 0.025 21.934 206.213
  4 0.035 21.558 215.933
  5 0.045 21.27 212.959
  6 0.055 21.39 221.427
  7 0.065 21.828 232.568
  8 0.075 22 236.059
  9 0.085 22 237.994
  10 0.095 22 249.173
  11 0.105 21.952 232.38
  12 0.115 21.536 244.417
  13 0.125 19.054 254.817
  14 0.135 18.43 257.354
  15 0.145 21.042 260.765
  16 0.155 21.986 259.523
  17 0.165 22 272.296
  18 0.175 22 277.166
  19 0.185 21.986 279.313
  20 0.195 21.848 259.076
  21 0.205 21.436 271.646
  22 0.215 21.256 279.776
  23 0.225 21.582 296.63
  24 0.235 21.738 314.686
  25 0.245 20.118 331.129
  26 0.255 17.508 335.085
  27 0.265 19 338.853
  28 0.275 21.52 330.41
  29 0.285 21.756 333.545
  30 0.295 21.21 340.371
  31 0.305 21.336 322.318
  32 0.315 21.718 344.342
  33 0.325 21.994 325.746
  34 0.335 21.994 342.489
  35 0.345 21.992 335.613
  36 0.355 21.93 342.143
  37 0.365 21.358 348.746
  38 0.375 18.956 345.864
  39 0.385 18.69 365.336
  40 0.395 21.152 385.185
  41 0.405 21.924 374.719
  42 0.415 21.998 365.521
  43 0.425 21.998 399.045
  44 0.435 21.918 428.571
  45 0.445 21.704 396.006
  46 0.455 21.346 407.998
  47 0.465 21.252 411.87
  48 0.475 21.73 424.689
  49 0.485 21.056 413.64
  50 0.495 18.352 433.033
  51 0.505 17.922 440.072
  52 0.515 20.794 437.797
  53 0.525 21.652 435.443
  54 0.535 21.318 446.36
  55 0.545 21.426 421.786
  56 0.555 21.62 414.625
  57 0.565 21.922 405.096
  58 0.575 21.99 401.794
  59 0.585 22 387.217
  60 0.595 21.918 363.788
  61 0.605 21.284 372.347
  62 0.615 18.566 367.063
  63 0.625 18.912 352.139
  64 0.635 21.364 331.266
  65 0.645 21.956 339.827
  66 0.655 22 347.863
  67 0.665 22 350.708
  68 0.675 21.94 334.267
  69 0.685 21.692 335.468
  70 0.695 21.222 309.032
  71 0.705 21.334 329.314
  72 0.715 21.814 303.01
  73 0.725 21.538 295.441
  74 0.735 18.838 281.796
  75 0.745 17.274 298.871
  76 0.755 20.508 297.365
  77 0.765 21.778 296.381
  78 0.775 21.558 285.317
  79 0.785 21.222 271.376
  80 0.795 21.34 266.492
  81 0.805 21.956 259.477
  82 0.815 21.992 248.122
  83 0.825 21.994 248.097
  84 0.835 22 244.55
  85 0.845 21.868 243.666
  86 0.855 21.066 256.189
  87 0.865 18.868 250.999
  88 0.875 18.83 248.017
  89 0.885 21.43 263.458
  90 0.895 21.938 244.387
  91 0.905 22 236.133
  92 0.915 22 223.72
  93 0.925 22 206.395
  94 0.935 21.86 215.509
  95 0.945 21.468 222.324
  96 0.955 21.148 230.675
  97 0.965 21.608 238.883
  98 0.975 21.876 228.797
  99 0.985 21.206 212.536
  100 0.995 17.922 217.804
90000 100 2111.9999999999995
  1 0.005 17.648 211.865
  2 0.015 21.148 211.014
  3 0.025 21.964 217.394
  4 0.035 21.688 231.248
  5 0.045 20.932 216.471
  6 0.055 21.514 217.634
  7 0.065 21.894 229.225
  8 0.075 22 225.008
  9 0.085 22 224.781
  10 0.095 22 225.168
  11 0.105 21.972 226.441
  12 0.115 21.27 246.359
  13 0.125 18.922 248.749
  14 0.135 18.568 261.493
  15 0.145 21.278 271.622
  16 0.155 21.99 270.115
  17 0.165 22 283.71
  18 0.175 22 278.714
  19 0.185 21.996 281.343
  20 0.195 21.77 297.486
  21 0.205 21.49 294.387
  22 0.215 21.072 282.301
  23 0.225 21.684 292.43
  24 0.235 21.86 286.154
  25 0.245 20.118 312.031
  26 0.255 17.29 309.301
  27 0.265 19.19 309.943
  28 0.275 21.516 310.147
  29 0.285 21.75 306.991
  30 0.295 21.324 325.77
  31 0.305 21.32 339.192
  32 0.315 21.69 338.791
  33 0.325 21.954 335.005
