# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112.0000000000005
  1 0.005 19.81 949.843
  2 0.015 20.738 929.886
  3 0.025 21.076 986.734
  4 0.035 21.434 964.967
  5 0.045 21.772 949.016
  6 0.055 21.556 957.248
  7 0.065 21.774 917.59
  8 0.075 21.906 934.688
  9 0.085 21.82 960.53
  10 0.095 21.902 992.493
  11 0.105 21.37 1023.49
  12 0.115 20.806 1026.23
  13 0.125 19.944 1031.68
  14 0.135 20.12 995.8
  15 0.145 20.698 1030.25
  16 0.155 21.378 1030.09
  17 0.165 21.878 997.166
  18 0.175 21.87 1071.07
  19 0.185 21.882 1046.74
  20 0.195 21.702 1100.33
  21 0.205 21.442 1003.4
  22 0.215 21.596 1040.44
  23 0.225 21.49 998.453
  24 0.235 20.868 1053.93
  25 0.245 20.088 1029.63
  26 0.255 19.664 1091.7
  27 0.265 19.764 1075.31
  28 0.275 20.336 1093.63
  29 0.285 21.06 1089.43
  30 0.295 21.49 1161.63
  31 0.305 21.556 1128.62
  32 0.315 21.62 1130.43
  33 0.325 21.684 1085.78
  34 0.335 21.942 1161.85
  35 0.345 21.822 1174.85
  36 0.355 21.842 1190.2
  37 0.365 20.988 1166.89
  38 0.375 20.214 1163.14
  39 0.385 19.642 1247.96
  40 0.395 20.528 1223.08
  41 0.405 21.248 1237.24
  42 0.415 21.694 1290.53
  43 0.425 21.758 1261.34
  44 0.435 21.772 1233.89
  45 0.445 21.746 1193.49
  46 0.455 21.67 1188.03
  47 0.465 21.312 1204.42
  48 0.475 20.924 1216.58
  49 0.485 20.434 1173.95
  50 0.495 19.902 1173.16
  51 0.505 19.676 1193.06
  52 0.515 20.054 1192.26
  53 0.525 20.782 1230.74
  54 0.535 21.276 1200.43
  55 0.545 21.354 1228.66
  56 0.555 21.7 1181.11
  57 0.565 21.804 1152.3
  58 0.575 21.896 1160.88
  59 0.585 21.746 1133.74
  60 0.595 21.522 1094.83
  61 0.605 20.904 1097.96
  62 0.615 19.992 1133.24
  63 0.625 19.994 1157.2
  64 0.635 20.62 1170.24
  65 0.645 21.232 1192.39
  66 0.655 21.846 1180.65
