#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  23000      2.85e+00    4.44e+00      3.45e-02    2.15e-02      9.00e-02    1.40e-01      1.16e-01    9.54e-02    1.0e-03
  23500      2.57e+00    4.24e+00      6.68e-02    5.24e-02      8.10e-02    1.34e-01      2.40e-02    1.31e-02    1.0e-03
  24000      3.46e+00    4.41e+00      8.71e-03    5.33e-02      1.09e-01    1.40e-01      7.94e-02    7.22e-02    1.0e-03
  24500      2.43e+00    3.35e+00      1.15e-01    9.48e-02      7.63e-02    1.06e-01      5.44e-02    4.93e-02    1.0e-03
  25000      3.14e+00    4.14e+00      7.28e-02    7.19e-02      9.89e-02    1.31e-01      1.34e-01    1.30e-01    1.0e-03
  25500      3.80e+00    4.09e+00      2.00e-02    1.07e-02      1.20e-01    1.29e-01      2.81e-02    9.05e-03    1.0e-03
  26000      3.34e+00    2.85e+00      4.13e-02    3.40e-02      1.05e-01    9.01e-02      3.46e-02    4.37e-02    1.0e-03
  26500      2.85e+00    3.49e+00      2.55e-01    2.34e-01      8.88e-02    1.09e-01      8.60e-02    1.38e-01    1.0e-03
  27000      3.60e+00    3.69e+00      2.60e-02    2.07e-02      1.14e-01    1.17e-01      1.76e-02    5.28e-02    1.0e-03
  27500      3.25e+00    3.58e+00      1.54e-01    1.33e-01      1.03e-01    1.13e-01      1.65e-02    3.58e-02    1.0e-03
  28000      3.25e+00    1.81e+00      2.45e-01    2.36e-01      1.01e-01    5.52e-02      1.83e-01    1.53e-01    1.0e-03
  28500      2.56e+00    4.28e+00      4.18e-02    2.91e-02      8.10e-02    1.35e-01      2.93e-02    6.70e-02    1.0e-03
  29000      3.21e+00    1.47e+00      6.12e-02    6.38e-02      1.01e-01    4.61e-02      6.77e-02    6.92e-02    1.0e-03
  29500      3.51e+00    4.92e+00      5.39e-02    5.06e-02      1.11e-01    1.56e-01      1.11e-01    7.41e-02    1.0e-03
  30000      2.18e+00    6.15e-01      6.26e-03    2.97e-02      6.85e-02    1.88e-02      1.23e-01    1.09e-01    1.0e-03
  30500      2.91e+00    2.61e+00      6.74e-02    5.88e-02      9.19e-02    8.24e-02      2.67e-02    3.10e-02    1.0e-03
  31000      2.39e+00    3.20e+00      1.40e-01    1.84e-01      7.48e-02    1.00e-01      8.44e-02    8.72e-02    1.0e-03
  31500      4.13e+00    5.53e+00      3.13e-01    3.08e-01      1.29e-01    1.74e-01      1.39e-02    1.63e-02    1.0e-03
  32000      3.48e+00    2.42e+00      6.77e-02    6.79e-02      1.10e-01    7.66e-02      4.30e-02    1.55e-02    1.0e-03
  32500      2.47e+00    9.54e-01      3.97e-02    3.28e-02      7.81e-02    3.01e-02      5.71e-02    3.90e-02    1.0e-03
  33000      3.18e+00    4.65e+00      2.50e-01    2.42e-01      9.94e-02    1.46e-01      1.11e-01    9.89e-02    1.0e-03
