#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 100000      1.24e+00    9.03e-01      3.76e-03    1.88e-03      1.03e-01    7.44e-02      1.77e-02    1.61e-02    1.4e-04
 100500      8.59e-01    2.37e-01      7.16e-03    7.51e-03      7.06e-02    1.53e-02      7.07e-03    6.46e-03    1.4e-04
 101000      6.99e-01    8.74e-01      1.20e-03    1.36e-03      5.84e-02    7.26e-02      8.61e-03    1.31e-02    1.4e-04
 101500      8.23e-01    1.38e+00      2.13e-03    1.54e-03      6.60e-02    1.16e-01      2.01e-02    1.71e-02    1.4e-04
 102000      9.75e-01    1.61e+00      6.73e-03    7.85e-03      7.15e-02    1.35e-01      3.26e-02    1.29e-02    1.4e-04
 102500      9.96e-01    2.87e-01      3.07e-04    8.24e-04      8.26e-02    1.68e-02      1.52e-02    1.68e-02    1.4e-04
 103000      9.68e-01    3.60e-01      5.24e-03    5.10e-04      8.04e-02    2.95e-02      1.20e-02    7.19e-03    1.4e-04
 103500      1.15e+00    1.06e+00      9.29e-03    9.38e-03      9.55e-02    8.74e-02      9.41e-03    1.17e-02    1.4e-04
 104000      8.63e-01    8.79e-01      1.16e-02    1.08e-02      6.39e-02    7.21e-02      2.04e-02    8.99e-03    1.4e-04
 104500      7.49e-01    9.42e-01      4.59e-03    3.16e-03      6.10e-02    7.85e-02      1.46e-02    1.21e-02    1.4e-04
 105000      1.11e+00    1.25e+00      8.10e-03    9.58e-03      8.74e-02    1.01e-01      2.83e-02    2.60e-02    1.4e-04
 105500      9.33e-01    1.49e+00      1.39e-03    1.78e-03      7.81e-02    1.26e-01      1.06e-02    9.97e-03    1.4e-04
 106000      8.72e-01    1.15e+00      9.73e-03    8.13e-03      7.17e-02    9.53e-02      8.93e-03    1.52e-02    1.4e-04
 106500      7.84e-01    1.42e+00      3.32e-03    2.69e-03      6.43e-02    1.20e-01      1.28e-02    1.28e-02    1.4e-04
 107000      8.62e-01    1.50e+00      1.87e-03    2.73e-03      7.17e-02    1.26e-01      9.90e-03    1.64e-02    1.4e-04
 107500      8.17e-01    1.23e+00      1.45e-03    1.85e-03      6.77e-02    1.04e-01      1.14e-02    1.12e-02    1.4e-04
 108000      7.42e-01    7.45e-01      1.56e-02    1.60e-02      5.45e-02    5.65e-02      9.58e-03    1.47e-02    1.4e-04
 108500      1.01e+00    1.31e+00      1.47e-03    3.11e-03      8.36e-02    1.10e-01      1.53e-02    1.58e-02    1.4e-04
 109000      9.64e-01    5.24e-01      5.68e-03    5.68e-03      7.42e-02    2.51e-02      2.61e-02    3.41e-02    1.4e-04
 109500      1.26e+00    8.36e-01      2.68e-03    2.20e-03      9.82e-02    6.05e-02      3.66e-02    3.51e-02    1.4e-04
 110000      6.35e-01    7.16e-01      3.89e-03    3.37e-03      5.15e-02    5.73e-02      1.18e-02    1.83e-02    1.4e-04
 110500      1.01e+00    1.73e+00      1.52e-02    1.07e-02      8.01e-02    1.45e-01      1.63e-02    1.67e-02    1.4e-04
 111000      1.01e+00    1.26e+00      1.67e-03    2.25e-03      8.44e-02    1.05e-01      9.49e-03    1.46e-02    1.4e-04
 111500      8.60e-01    6.10e-01      2.28e-03    1.87e-03      7.11e-02    5.11e-02      1.31e-02    6.40e-03    1.4e-04
 112000      9.68e-01    9.76e-01      2.24e-02    2.18e-02      7.23e-02    7.45e-02      1.24e-02    1.52e-02    1.4e-04
 112500      1.43e+00    7.09e-01      4.14e-03    4.84e-03      1.20e-01    5.88e-02      1.48e-02    8.85e-03    1.4e-04
 113000      1.16e+00    1.10e+00      1.12e-02    1.26e-02      9.55e-02    8.87e-02      1.31e-02    2.20e-02    1.4e-04
 113500      7.06e-01    5.03e-01      1.30e-02    1.11e-02      5.39e-02    3.88e-02      9.86e-03    5.66e-03    1.4e-04
 114000      7.15e-01    1.02e+00      6.08e-03    6.44e-03      5.83e-02    8.43e-02      1.05e-02    1.32e-02    1.4e-04
 114500      6.07e-01    1.50e+00      7.69e-03    4.35e-03      4.80e-02    1.26e-01      1.16e-02    9.42e-03    1.4e-04
 115000      8.36e-01    1.11e+00      1.73e-03    2.44e-03      6.56e-02    9.28e-02      2.27e-02    1.35e-02    1.4e-04
 115500      1.31e+00    9.08e-01      5.86e-03    6.53e-03      1.06e-01    7.58e-02      2.72e-02    7.52e-03    1.4e-04
 116000      7.30e-01    8.82e-01      1.16e-02    1.06e-02      5.78e-02    7.18e-02      9.41e-03    1.23e-02    1.4e-04
 116500      6.03e-01    4.66e-01      3.01e-03    3.19e-03      4.28e-02    3.07e-02      1.83e-02    2.34e-02    1.4e-04
 117000      1.37e+00    3.99e-01      8.20e-03    1.02e-02      1.13e-01    2.60e-02      2.15e-02    1.49e-02    1.4e-04
 117500      1.02e+00    1.21e+00      1.03e-02    1.18e-02      8.37e-02    9.66e-02      8.32e-03    2.84e-02    1.4e-04
 118000      7.25e-01    4.08e-01      5.85e-03    5.42e-03      5.99e-02    2.92e-02      7.46e-03    1.60e-02    1.4e-04
 118500      8.11e-01    3.49e-01      4.97e-03    6.45e-03      6.76e-02    2.57e-02      8.48e-03    1.06e-02    1.4e-04
 119000      8.72e-01    4.59e-01      8.35e-04    7.72e-04      7.12e-02    3.63e-02      1.70e-02    1.33e-02    1.4e-04
 119500      1.05e+00    1.18e+00      1.08e-02    1.25e-02      8.20e-02    9.71e-02      2.76e-02    1.43e-02    1.4e-04
 120000      1.07e+00    6.25e-01      2.96e-03    4.55e-03      8.93e-02    5.20e-02      1.51e-02    6.72e-03    1.4e-04
 120500      1.04e+00    1.03e+00      2.14e-03    2.43e-03      8.50e-02    8.66e-02      1.95e-02    1.07e-02    1.4e-04
 121000      7.44e-01    3.39e-01      6.31e-03    6.50e-03      5.92e-02    2.56e-02      1.49e-02    8.35e-03    1.4e-04
 121500      1.41e+00    4.80e-01      1.61e-02    1.70e-02      1.13e-01    3.15e-02      2.87e-02    5.20e-03    1.4e-04
 122000      6.71e-01    4.60e-01      2.17e-03    2.90e-03      5.49e-02    3.80e-02      1.13e-02    6.89e-03    1.4e-04
 122500      6.51e-01    5.70e-01      9.52e-03    1.02e-02      5.02e-02    3.91e-02      1.06e-02    2.29e-02    1.4e-04
 123000      1.12e+00    4.24e-01      4.97e-04    8.47e-04      8.94e-02    2.24e-02      2.78e-02    2.69e-02    1.4e-04
 123500      7.61e-01    8.62e-01      1.35e-02    1.21e-02      5.86e-02    6.83e-02      9.47e-03    1.75e-02    1.4e-04
 124000      8.15e-01    2.79e-01      6.22e-03    5.43e-03      6.58e-02    2.16e-02      1.51e-02    5.08e-03    1.4e-04
 124500      1.13e+00    6.94e-01      1.29e-02    1.22e-02      8.79e-02    3.51e-02      2.87e-02    4.17e-02    1.4e-04
 125000      5.61e-01    1.01e+00      2.26e-03    2.68e-03      4.63e-02    8.51e-02      8.75e-03    9.73e-03    1.4e-04
 125500      5.66e-01    1.31e+00      4.31e-03    1.25e-03      4.58e-02    1.10e-01      7.60e-03    1.18e-02    1.4e-04
 126000      1.02e+00    7.28e-01      1.58e-02    1.67e-02      8.09e-02    5.41e-02      1.49e-02    1.55e-02    1.4e-04
 126500      8.26e-01    3.57e-01      4.63e-03    5.60e-03      6.73e-02    2.85e-02      1.51e-02    5.68e-03    1.4e-04
 127000      1.13e+00    4.35e-01      5.13e-03    6.07e-03      8.95e-02    3.13e-02      2.76e-02    1.65e-02    1.4e-04
 127500      1.04e+00    8.68e-01      5.77e-03    5.10e-03      8.70e-02    7.05e-02      9.81e-03    1.83e-02    1.4e-04
 128000      5.67e-01    8.18e-01      7.38e-03    8.07e-03      3.40e-02    6.02e-02      2.66e-02    3.07e-02    1.4e-04
 128500      8.87e-01    1.04e+00      6.61e-03    5.39e-03      7.18e-02    8.50e-02      1.66e-02    1.93e-02    1.4e-04
 129000      9.32e-01    1.17e+00      2.71e-03    2.14e-03      7.66e-02    9.66e-02      1.63e-02    1.90e-02    1.4e-04
 129500      9.85e-01    1.59e+00      4.57e-03    2.91e-03      8.20e-02    1.34e-01      1.05e-02    1.48e-02    1.4e-04
 130000      1.04e+00    8.81e-01      1.11e-02    8.07e-03      8.42e-02    7.27e-02      1.41e-02    1.06e-02    1.4e-04
 130500      9.46e-01    5.92e-01      1.84e-03    5.19e-04      7.93e-02    4.39e-02      9.87e-03    2.31e-02    1.4e-04
 131000      7.59e-01    2.71e-01      8.21e-04    8.59e-04      6.34e-02    2.24e-02      9.06e-03    4.49e-03    1.4e-04
 131500      7.85e-01    1.03e+00      1.80e-03    2.56e-03      6.41e-02    8.68e-02      1.19e-02    7.13e-03    1.4e-04
 132000      7.19e-01    1.51e+00      3.61e-03    1.21e-03      5.09e-02    1.22e-01      2.98e-02    3.72e-02    1.4e-04
 132500      7.96e-01    8.48e-01      6.09e-03    4.51e-03      6.55e-02    7.03e-02      1.06e-02    1.20e-02    1.4e-04
 133000      1.10e+00    9.57e-01      3.00e-03    1.67e-03      8.96e-02    7.98e-02      2.17e-02    1.25e-02    1.4e-04
 133500      8.32e-01    1.08e+00      4.26e-03    4.55e-03      6.42e-02    8.89e-02      2.04e-02    1.98e-02    1.4e-04
 134000      9.25e-01    1.15e+00      2.30e-03    1.43e-03      7.06e-02    9.43e-02      3.21e-02    2.32e-02    1.4e-04
 134500      9.55e-01    4.62e-01      2.03e-02    2.35e-02      6.72e-02    1.18e-02      2.96e-02    1.30e-02    1.4e-04
 135000      6.86e-01    8.17e-01      4.98e-03    1.88e-03      4.94e-02    6.69e-02      2.39e-02    1.63e-02    1.4e-04
 135500      1.15e+00    4.83e-01      1.33e-03    4.04e-03      9.49e-02    3.97e-02      1.87e-02    7.15e-03    1.4e-04
 136000      9.97e-01    1.13e+00      1.19e-02    1.19e-02      8.03e-02    9.16e-02      1.52e-02    2.09e-02    1.4e-04
 136500      1.05e+00    8.01e-01      2.48e-02    2.11e-02      7.74e-02    5.68e-02      1.57e-02    1.92e-02    1.4e-04
 137000      1.09e+00    9.06e-01      8.35e-04    2.08e-03      9.14e-02    7.62e-02      1.35e-02    7.65e-03    1.4e-04
 137500      9.63e-01    8.91e-01      8.46e-03    7.11e-03      7.79e-02    7.31e-02      1.70e-02    1.44e-02    1.4e-04
 138000      1.04e+00    1.27e+00      5.81e-03    6.34e-03      8.16e-02    1.05e-01      2.38e-02    2.17e-02    1.4e-04
 138500      8.58e-01    5.84e-01      1.95e-03    2.98e-03      7.18e-02    4.79e-02      9.03e-03    1.10e-02    1.4e-04
 139000      1.23e+00    1.11e+00      7.78e-03    8.15e-03      1.02e-01    9.09e-02      1.55e-02    2.06e-02    1.4e-04
 139500      1.27e+00    8.70e-01      1.15e-02    1.16e-02      9.81e-02    6.36e-02      3.78e-02    3.15e-02    1.4e-04
 140000      1.19e+00    4.24e-01      1.16e-02    1.28e-02      9.04e-02    1.94e-02      3.75e-02    2.26e-02    1.4e-04
 140500      1.03e+00    5.79e-01      9.81e-03    9.10e-03      8.53e-02    4.49e-02      8.89e-03    1.38e-02    1.4e-04
 141000      9.42e-01    1.34e+00      3.34e-03    3.51e-03      7.09e-02    1.11e-01      3.29e-02    2.30e-02    1.4e-04
 141500      6.70e-01    1.08e+00      2.65e-03    3.51e-03      5.32e-02    8.75e-02      1.57e-02    2.50e-02    1.4e-04
 142000      1.01e+00    5.65e-01      7.16e-03    8.74e-03      8.27e-02    4.56e-02      1.37e-02    6.33e-03    1.4e-04
 142500      9.06e-01    2.40e-01      2.77e-03    2.51e-03      7.14e-02    1.81e-02      2.19e-02    8.09e-03    1.4e-04
 143000      9.49e-01    8.82e-01      4.56e-03    5.62e-03      7.70e-02    7.35e-02      1.76e-02    9.59e-03    1.4e-04
 143500      7.52e-01    5.35e-01      7.81e-03    7.71e-03      6.10e-02    4.35e-02      1.11e-02    5.34e-03    1.4e-04
 144000      9.44e-01    8.51e-01      7.61e-03    8.83e-03      6.67e-02    6.61e-02      3.57e-02    2.44e-02    1.4e-04
 144500      7.40e-01    5.18e-01      4.80e-03    6.37e-03      5.93e-02    3.89e-02      1.62e-02    1.70e-02    1.4e-04
 145000      7.60e-01    5.50e-01      9.40e-03    7.84e-03      5.78e-02    3.29e-02      2.02e-02    2.96e-02    1.4e-04
 145500      1.05e+00    1.12e+00      9.34e-04    1.16e-03      8.77e-02    9.38e-02      1.44e-02    1.40e-02    1.4e-04
 146000      8.43e-01    6.88e-01      9.80e-03    1.07e-02      6.69e-02    5.50e-02      1.61e-02    9.93e-03    1.4e-04
 146500      6.72e-01    1.52e+00      4.58e-03    3.68e-03      4.94e-02    1.28e-01      2.58e-02    1.16e-02    1.4e-04
 147000      1.28e+00    3.10e-01      1.19e-02    1.03e-02      1.07e-01    1.69e-02      1.12e-02    1.24e-02    1.4e-04
 147500      5.42e-01    5.54e-01      3.35e-03    2.23e-05      4.45e-02    4.54e-02      7.36e-03    1.11e-02    1.4e-04
 148000      5.23e-01    5.61e-01      9.68e-03    9.07e-03      4.06e-02    4.48e-02      8.32e-03    7.91e-03    1.4e-04
 148500      1.12e+00    1.24e+00      1.21e-03    1.04e-04      9.31e-02    1.05e-01      1.30e-02    7.71e-03    1.4e-04
 149000      1.04e+00    3.49e-01      1.51e-03    2.33e-03      8.60e-02    2.81e-02      1.60e-02    8.09e-03    1.4e-04
 149500      6.31e-01    5.10e-01      1.82e-03    1.42e-03      4.04e-02    2.88e-02      3.25e-02    3.07e-02    1.4e-04
 150000      7.43e-01    2.93e-01      9.41e-03    1.03e-02      9.23e-02    2.40e-02      2.00e-02    1.09e-02    5.1e-05
 150500      6.63e-01    2.94e-01      9.96e-03    1.07e-02      8.47e-02    2.90e-02      1.14e-02    4.71e-03    5.1e-05
 151000      6.20e-01    7.50e-01      1.13e-03    2.27e-03      7.69e-02    1.01e-01      1.85e-02    9.72e-03    5.1e-05
 151500      4.12e-01    4.41e-01      2.68e-03    4.76e-03      5.27e-02    5.88e-02      8.15e-03    4.59e-03    5.1e-05
 152000      6.06e-01    4.37e-01      5.89e-03    4.38e-03      7.89e-02    5.21e-02      1.12e-02    1.55e-02    5.1e-05
 152500      5.62e-01    6.47e-01      4.18e-03    5.41e-03      7.40e-02    8.29e-02      9.52e-03    1.61e-02    5.1e-05
 153000      4.71e-01    5.38e-01      4.71e-03    5.94e-03      6.09e-02    7.07e-02      9.91e-03    8.72e-03    5.1e-05
 153500      6.12e-01    6.81e-01      5.80e-03    5.69e-03      7.74e-02    9.10e-02      1.46e-02    8.62e-03    5.1e-05
 154000      4.08e-01    6.03e-01      5.37e-03    3.82e-03      4.71e-02    7.79e-02      1.31e-02    1.46e-02    5.1e-05
 154500      5.13e-01    3.89e-01      1.03e-03    1.72e-03      6.56e-02    3.93e-02      1.29e-02    2.02e-02    5.1e-05
 155000      8.11e-01    6.73e-01      1.06e-02    1.13e-02      9.91e-02    8.54e-02      2.20e-02    1.16e-02    5.1e-05
 155500      6.68e-01    3.01e-01      1.79e-03    6.06e-04      8.86e-02    4.07e-02      1.25e-02    3.78e-03    5.1e-05
 156000      5.81e-01    6.57e-01      5.63e-03    5.50e-03      7.14e-02    6.57e-02      1.64e-02    3.40e-02    5.1e-05
 156500      4.50e-01    7.25e-01      3.27e-03    3.01e-03      5.82e-02    9.30e-02      9.30e-03    1.95e-02    5.1e-05
 157000      5.61e-01    9.07e-01      3.86e-03    3.75e-03      7.06e-02    1.22e-01      1.33e-02    1.15e-02    5.1e-05
 157500      3.41e-01    4.35e-01      2.68e-03    3.71e-03      3.64e-02    5.80e-02      1.58e-02    5.82e-03    5.1e-05
 158000      4.94e-01    1.00e+00      2.12e-03    2.95e-03      6.46e-02    1.34e-01      9.11e-03    1.58e-02    5.1e-05
 158500      4.38e-01    6.95e-01      2.62e-03    1.98e-03      5.28e-02    8.35e-02      1.24e-02    2.57e-02    5.1e-05
 159000      6.56e-01    6.53e-01      4.83e-03    3.55e-03      8.07e-02    8.84e-02      1.94e-02    6.02e-03    5.1e-05
 159500      7.92e-01    7.16e-01      6.84e-04    3.68e-05      1.02e-01    9.35e-02      2.02e-02    1.70e-02    5.1e-05
 160000      6.04e-01    6.17e-01      3.36e-03    1.33e-03      7.87e-02    8.32e-02      1.23e-02    8.27e-03    5.1e-05
 160500      4.50e-01    6.37e-01      1.42e-03    1.88e-03      4.19e-02    8.01e-02      2.50e-02    1.96e-02    5.1e-05
 161000      4.25e-01    2.54e-01      1.07e-03    5.47e-04      5.29e-02    2.84e-02      1.24e-02    1.13e-02    5.1e-05
 161500      6.54e-01    7.13e-01      7.47e-03    5.81e-03      8.26e-02    9.47e-02      1.37e-02    1.11e-02    5.1e-05
 162000      5.77e-01    3.37e-01      1.48e-03    2.88e-04      7.42e-02    3.92e-02      1.38e-02    1.38e-02    5.1e-05
 162500      6.39e-01    4.92e-01      9.03e-03    7.09e-03      7.46e-02    6.16e-02      2.15e-02    1.19e-02    5.1e-05
 163000      4.24e-01    3.26e-01      6.81e-03    7.55e-03      3.79e-02    2.43e-02      2.25e-02    1.83e-02    5.1e-05
 163500      4.86e-01    3.02e-01      1.02e-03    2.41e-04      5.72e-02    3.99e-02      1.66e-02    6.30e-03    5.1e-05
 164000      4.58e-01    7.14e-01      1.68e-03    1.38e-03      5.89e-02    9.25e-02      9.36e-03    1.80e-02    5.1e-05
 164500      5.28e-01    9.40e-01      1.08e-02    5.98e-03      6.18e-02    1.26e-01      1.13e-02    1.27e-02    5.1e-05
 165000      6.61e-01    6.64e-01      3.51e-03    4.29e-03      8.25e-02    8.92e-02      1.33e-02    8.35e-03    5.1e-05
 165500      5.81e-01    6.56e-01      8.83e-03    9.03e-03      6.71e-02    7.56e-02      1.66e-02    2.44e-02    5.1e-05
 166000      4.60e-01    6.92e-01      7.41e-03    5.52e-03      5.74e-02    9.28e-02      9.69e-03    8.28e-03    5.1e-05
 166500      3.88e-01    5.25e-01      1.17e-03    1.01e-03      4.68e-02    7.08e-02      1.29e-02    7.39e-03    5.1e-05
 167000      4.43e-01    3.53e-01      3.58e-03    4.39e-03      5.51e-02    4.07e-02      1.19e-02    1.34e-02    5.1e-05
 167500      4.20e-01    3.32e-01      3.27e-03    2.52e-03      5.54e-02    4.37e-02      6.67e-03    6.41e-03    5.1e-05
 168000      5.51e-01    8.96e-01      8.60e-03    6.26e-03      6.65e-02    1.20e-01      1.46e-02    1.06e-02    5.1e-05
 168500      5.81e-01    7.51e-01      8.12e-03    5.68e-03      7.52e-02    9.94e-02      7.98e-03    1.30e-02    5.1e-05
 169000      5.99e-01    5.06e-01      2.31e-03    1.50e-03      7.83e-02    6.56e-02      1.34e-02    1.26e-02    5.1e-05
 169500      5.53e-01    6.60e-01      5.54e-03    7.60e-03      6.12e-02    8.61e-02      1.75e-02    1.16e-02    5.1e-05
 170000      5.11e-01    8.97e-01      9.95e-04    7.69e-04      6.84e-02    1.22e-01      8.42e-03    9.43e-03    5.1e-05
 170500      5.26e-01    5.71e-01      2.64e-03    4.15e-03      6.31e-02    7.07e-02      1.50e-02    1.81e-02    5.1e-05
 171000      7.03e-01    2.48e-01      1.84e-03    3.72e-04      9.38e-02    3.07e-02      1.19e-02    8.16e-03    5.1e-05
 171500      6.25e-01    2.75e-01      5.56e-03    7.32e-04      6.92e-02    3.42e-02      2.23e-02    8.88e-03    5.1e-05
 172000      5.13e-01    8.78e-01      1.41e-03    1.08e-03      5.70e-02    1.19e-01      2.20e-02    1.06e-02    5.1e-05
 172500      3.02e-01    7.39e-01      9.15e-03    3.05e-03      1.89e-02    9.48e-02      1.56e-02    1.98e-02    5.1e-05
 173000      5.10e-01    6.14e-01      5.66e-03    6.64e-03      6.17e-02    8.00e-02      1.51e-02    1.16e-02    5.1e-05
 173500      4.78e-01    6.56e-01      4.06e-03    5.02e-03      6.09e-02    8.08e-02      1.05e-02    2.12e-02    5.1e-05
 174000      5.01e-01    6.25e-01      9.43e-04    1.44e-03      6.32e-02    8.34e-02      1.47e-02    1.11e-02    5.1e-05
 174500      5.47e-01    3.96e-01      5.42e-03    6.13e-03      7.16e-02    4.51e-02      9.36e-03    1.48e-02    5.1e-05
 175000      7.12e-01    8.81e-01      8.74e-03    5.62e-03      8.91e-02    1.19e-01      1.61e-02    8.24e-03    5.1e-05
 175500      3.93e-01    6.90e-01      1.86e-03    1.93e-03      4.86e-02    9.34e-02      8.02e-03    8.10e-03    5.1e-05
 176000      5.99e-01    3.53e-01      1.39e-03    5.71e-04      7.52e-02    4.76e-02      1.80e-02    5.16e-03    5.1e-05
 176500      4.33e-01    5.24e-01      4.01e-03    2.23e-03      5.64e-02    6.72e-02      7.81e-03    1.40e-02    5.1e-05
 177000      4.56e-01    8.10e-01      1.24e-02    1.16e-02      4.64e-02    1.02e-01      1.42e-02    1.90e-02    5.1e-05
 177500      6.60e-01    7.92e-01      6.98e-03    6.98e-03      8.62e-02    1.01e-01      1.11e-02    2.08e-02    5.1e-05
 178000      4.21e-01    5.46e-01      7.08e-03    5.39e-03      5.20e-02    6.89e-02      7.60e-03    1.46e-02    5.1e-05
 178500      6.74e-01    6.81e-01      1.27e-03    2.29e-03      9.03e-02    9.15e-02      1.09e-02    1.03e-02    5.1e-05
 179000      6.25e-01    3.83e-01      9.03e-03    7.88e-03      7.83e-02    4.29e-02      1.27e-02    1.31e-02    5.1e-05
 179500      5.71e-01    6.16e-01      1.07e-03    1.12e-03      6.78e-02    7.65e-02      2.01e-02    2.02e-02    5.1e-05
 180000      3.83e-01    3.03e-01      1.32e-03    1.77e-03      4.81e-02    3.33e-02      1.11e-02    1.37e-02    5.1e-05
 180500      5.62e-01    7.19e-01      5.63e-03    9.05e-03      7.06e-02    9.29e-02      1.06e-02    1.36e-02    5.1e-05
 181000      5.28e-01    4.15e-01      5.81e-03    7.30e-03      6.62e-02    5.22e-02      1.23e-02    7.76e-03    5.1e-05
 181500      6.02e-01    9.09e-01      7.65e-03    4.92e-03      7.59e-02    1.16e-01      1.26e-02    2.46e-02    5.1e-05
 182000      7.85e-01    4.87e-01      1.10e-02    9.18e-03      9.80e-02    4.19e-02      1.66e-02    2.64e-02    5.1e-05
 182500      5.68e-01    5.00e-01      7.93e-03    7.55e-03      6.50e-02    6.07e-02      1.82e-02    1.45e-02    5.1e-05
 183000      6.54e-01    5.67e-01      4.68e-03    1.95e-03      8.17e-02    6.20e-02      1.73e-02    2.63e-02    5.1e-05
 183500      5.91e-01    5.95e-01      2.86e-03    1.24e-03      7.72e-02    7.85e-02      1.17e-02    1.26e-02    5.1e-05
 184000      4.68e-01    4.45e-01      2.11e-03    6.84e-04      6.02e-02    5.97e-02      1.04e-02    6.97e-03    5.1e-05
 184500      7.92e-01    8.79e-01      2.82e-03    1.04e-03      9.48e-02    1.20e-01      2.84e-02    5.97e-03    5.1e-05
 185000      5.99e-01    1.42e-01      5.98e-03    5.33e-03      7.93e-02    1.27e-02      8.23e-03    3.43e-03    5.1e-05
 185500      3.80e-01    8.24e-01      3.65e-03    2.61e-03      4.07e-02    1.11e-01      1.65e-02    1.13e-02    5.1e-05
 186000      3.66e-01    6.81e-01      1.07e-03    5.46e-04      4.77e-02    9.18e-02      7.30e-03    9.57e-03    5.1e-05
 186500      5.54e-01    5.91e-01      8.42e-04    1.36e-03      7.47e-02    7.57e-02      7.14e-03    1.62e-02    5.1e-05
 187000      5.49e-01    1.24e-01      1.29e-03    2.21e-03      7.12e-02    1.59e-02      1.22e-02    1.20e-03    5.1e-05
 187500      4.76e-01    3.33e-01      7.50e-03    7.98e-03      5.97e-02    3.44e-02      9.26e-03    1.27e-02    5.1e-05
 188000      5.35e-01    8.91e-01      1.77e-03    4.61e-03      6.34e-02    1.20e-01      1.77e-02    1.13e-02    5.1e-05
 188500      6.57e-01    5.22e-01      7.95e-03    5.70e-03      8.50e-02    6.94e-02      9.97e-03    5.70e-03    5.1e-05
 189000      6.51e-01    2.33e-01      5.65e-04    3.32e-05      8.17e-02    2.49e-02      1.92e-02    1.13e-02    5.1e-05
 189500      3.94e-01    8.72e-01      2.96e-03    1.33e-03      4.40e-02    1.15e-01      1.45e-02    1.85e-02    5.1e-05
 190000      5.33e-01    6.56e-01      8.52e-03    9.74e-03      6.69e-02    8.09e-02      1.12e-02    1.74e-02    5.1e-05
 190500      5.38e-01    2.71e-01      1.30e-03    6.56e-04      6.96e-02    3.42e-02      1.30e-02    8.26e-03    5.1e-05
 191000      5.27e-01    3.30e-01      2.30e-03    2.75e-03      6.47e-02    2.58e-02      1.46e-02    2.06e-02    5.1e-05
 191500      6.28e-01    4.29e-01      4.77e-04    5.63e-04      8.40e-02    5.83e-02      1.01e-02    4.80e-03    5.1e-05
 192000      5.06e-01    6.93e-01      1.59e-03    1.21e-03      6.59e-02    9.36e-02      1.08e-02    9.11e-03    5.1e-05
 192500      5.99e-01    2.15e-01      3.38e-03    3.37e-03      7.91e-02    2.44e-02      1.12e-02    8.12e-03    5.1e-05
 193000      5.02e-01    3.20e-01      6.27e-04    2.68e-04      6.53e-02    3.95e-02      1.12e-02    1.07e-02    5.1e-05
 193500      5.70e-01    8.51e-01      1.87e-03    1.51e-03      7.61e-02    1.14e-01      8.28e-03    1.45e-02    5.1e-05
 194000      6.20e-01    6.16e-01      1.46e-02    1.45e-02      7.20e-02    5.88e-02      8.06e-03    2.74e-02    5.1e-05
 194500      3.24e-01    5.07e-01      3.76e-03    3.90e-03      3.99e-02    6.71e-02      9.18e-03    8.67e-03    5.1e-05
 195000      6.60e-01    7.52e-01      2.85e-03    3.85e-03      8.61e-02    9.48e-02      1.44e-02    2.21e-02    5.1e-05
 195500      8.11e-01    2.33e-01      9.02e-04    1.31e-03      1.09e-01    2.92e-02      1.28e-02    7.15e-03    5.1e-05
 196000      6.67e-01    5.55e-01      1.34e-03    1.24e-03      8.87e-02    6.80e-02      1.18e-02    1.92e-02    5.1e-05
 196500      4.08e-01    7.89e-01      6.75e-03    3.26e-03      4.68e-02    1.06e-01      1.24e-02    1.04e-02    5.1e-05
 197000      5.69e-01    3.91e-01      8.42e-04    1.63e-03      7.08e-02    5.10e-02      1.65e-02    9.08e-03    5.1e-05
 197500      4.60e-01    3.91e-01      3.85e-03    2.84e-03      5.96e-02    4.68e-02      8.60e-03    1.43e-02    5.1e-05
 198000      5.64e-01    8.93e-01      4.97e-03    5.77e-03      6.96e-02    1.05e-01      1.58e-02    3.49e-02    5.1e-05
 198500      5.70e-01    4.96e-01      6.83e-03    5.30e-03      6.65e-02    4.87e-02      1.85e-02    2.57e-02    5.1e-05
 199000      5.34e-01    1.54e-01      3.05e-03    3.74e-03      6.88e-02    1.54e-02      1.20e-02    6.23e-03    5.1e-05
 199500      5.12e-01    5.02e-01      2.55e-03    1.58e-03      6.40e-02    6.23e-02      1.40e-02    1.64e-02    5.1e-05
 200000      3.00e-01    1.74e-01      4.12e-03    2.84e-03      4.63e-02    3.41e-02      1.28e-02    4.11e-03    1.9e-05
 200500      3.46e-01    3.54e-01      4.02e-03    2.38e-03      6.62e-02    5.96e-02      1.01e-02    1.68e-02    1.9e-05
 201000      3.55e-01    3.35e-01      8.56e-04    1.63e-03      6.39e-02    6.57e-02      1.37e-02    1.09e-02    1.9e-05
 201500      4.39e-01    5.54e-01      5.70e-03    4.69e-03      7.54e-02    1.08e-01      1.83e-02    1.74e-02    1.9e-05
 202000      2.57e-01    2.00e-01      1.45e-03    1.02e-03      4.97e-02    3.18e-02      8.42e-03    1.03e-02    1.9e-05
 202500      4.54e-01    4.50e-01      1.07e-03    4.30e-04      8.76e-02    9.41e-02      1.42e-02    9.85e-03    1.9e-05
 203000      3.09e-01    1.05e-01      1.12e-03    9.01e-04      5.77e-02    2.07e-02      1.16e-02    3.15e-03    1.9e-05
